"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"NR1H4","M",0,100,0,100
"NR1I2","M",0,100,0,100
"NR1I3","M",0,100,0,100
"NR2C2","M",0,100,0,100
"NR2F1","M",0,100,0,100
"NR2F2","M",0,100,0,100
"NR3C2","M",0,100,0,100
"NR4A3","M",0,100,0,100
"NR5A1","M",0,100,0,100
"NR5A2","M",0,100,0,100
"NRF1","M",0,100,0,100
"PARP1","",80,0,20,-20
"PATZ1","P",0,0,100,-100
"PAX3","M",0,100,0,100
"PAX5","M",0,100,0,100
"PBX1","M",0,0,100,-100
"PCSK7","P",0,100,0,100
"PDHX","P",0,0,100,-100
"PDX1","M",0,0,100,-100
"PGR","M",0,100,0,100
"PHLPP2","P",10,0,90,-90
"PITX2","M",0,100,0,100
"PITX3","P",0,100,0,100
"PLK1","",0,0,100,-100
"POU2AF1","P",0,100,0,100
"POU2F1","M",0,100,0,100
"POU4F1","M",0,0,100,-100
"POU5F1","M",0,100,0,100
"PPARA","M",0,100,0,100
"PPARGC1A","M",0,100,0,100
"PPM1B","P",0,0,100,-100
"PPM1F","P",0,100,0,100
"PRDM1","M",0,0,100,-100
"PRKCA","",48,52,0,52
"PRKCH","P",88,0,12,-12
"PROX1","M",0,100,0,100
"PTPRB","P",88,11,1,10
"PTPRE","P",86,0,14,-14
"RARA","M",0,100,0,100
"RARB","M",0,100,0,100
"RARG","M",0,100,0,100
"RB1","M",0,0,100,-100
"RBCK1_RNF31","P",96,0,4,-4
"RBPJ","M",0,100,0,100
"REL","M",0,100,0,100
"RELA","M",0,100,0,100
"RELB","M",0,100,0,100
"REST","M",0,100,0,100
"RIOX1","P",0,0,100,-100
"RIT2","",0,0,100,-100
"RITA1","P",0,0,100,-100
"RLIM","",0,0,100,-100
"RNF4","",0,100,0,100
"RORA","M",0,100,0,100
"RORB","P",0,100,0,100
"RPS27A_UBA6","P",38,22,40,-18
"RPS27A_UBE2C","P",96,0,4,-4
"RPS27A_UBE2D1","P",99,0,1,-1
"RPS27A_UBE2D2","P",97,0,3,-3
"RPS27A_UBE2D3","P",96,0,4,-4
"RPS27A_UBE2E1","P",99,0,1,-1
"RPS27A_UBE2E2","P",96,4,0,4
"RPS27A_UBE2G2","P",99,0,1,-1
"RPS27A_UBE2I","P",96,4,0,4
"RPS27A_UBE2J1","P",98,0,2,-2
"RPS27A_UBE2J2","P",93,0,7,-7
"RPS27A_UBE2K","P",99,0,1,-1
"RPS27A_UBE2L5","P",97,0,3,-3
"RPS27A_UBE2M","P",95,0,5,-5
"RPS27A_UBE2Q1","P",97,0,3,-3
"RPS27A_UBE2S","P",99,0,1,-1
"RPS27A_UBE2T","P",96,0,4,-4
"RPS27A_UBE2V2","P",98,2,0,2
"RUNX1","M",0,100,0,100
"RUNX2","M",0,100,0,100
"RUNX3","M",0,0,100,-100
"RXRA","M",0,100,0,100
"SATB1","M",0,100,0,100
"SF1","",0,0,100,-100
"SMAD1","M",0,100,0,100
"SMAD2","M",0,100,0,100
"SMAD3","M",0,100,0,100
"SMAD4","M",0,100,0,100
"SMAD5","M",0,100,0,100
"SMAD7","M",0,0,100,-100
"SMARCA1","M",0,100,0,100
"SMURF1","",0,0,100,-100
"SNAI1","M",0,100,0,100
"SNAI2","M",0,0,100,-100
"SOX2","M",0,100,0,100
"SOX9","M",0,100,0,100
"SP1","M",0,100,0,100
"SP2","P",2,98,0,98
"SP3","M",0,100,0,100
"SP7","M",0,100,0,100
"SPI1","M",0,100,0,100
"SPIB","",0,100,0,100
"SRC","",0,100,0,100
"SREBF1","M",0,100,0,100
"SREBF2","M",0,100,0,100
"SRF","M",0,100,0,100
"SRY","M",0,100,0,100
"SSRP1","M",0,100,0,100
"SSRP1_SUPT16H","P",0,100,0,100
"STAT1","M",0,100,0,100
"STAT2","M",0,100,0,100
"STAT3","M",0,100,0,100
"STAT5A","M",0,100,0,100
"STAT5B","M",0,100,0,100
"STAT6","M",0,100,0,100
"STK11","",0,0,100,-100
"STK33","P",26,0,74,-74
"SUMO1","",1,0,99,-99
"SUMO2","",99,0,1,-1
"TAL1","M",0,0,100,-100
"TBP","M",0,100,0,100
"TBX2","M",0,100,0,100
"TCF12","M",0,0,100,-100
"TCF3","M",0,100,0,100
"TCF4","M",0,100,0,100
"TCF7L2","M",0,100,0,100
"TFAP2A","M",0,100,0,100
"TFCP2","M",0,100,0,100
"TFDP1","M",0,100,0,100
"TFE3","M",0,100,0,100
"THRB","M",0,0,100,-100
"TP63","M",0,100,0,100
"TP73","M",0,100,0,100
"TRIM25","",0,0,100,-100
"TTF1","M",0,100,0,100
"TWIST1","M",0,100,0,100
"UBA1_UBA52","P",95,0,5,-5
"UBA1_UBB","P",85,7,8,-0.999999999999999
"UBA1_UBC","P",72,0,28,-28
"UBA52_UBA6","P",44,52,4,48
"UBA52_UBE2A","P",98,2,0,2
"UBA52_UBE2D3","P",99,0,1,-1
"UBA52_UBE2E1","P",96,0,4,-4
"UBA52_UBE2G2","P",99,0,1,-1
"UBA52_UBE2L3","P",50,0,50,-50
