"ensembl","entrez","hgnc_symbol","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ENSG00000162813",10380,"BPNT1",5.1539313635356,5.1707204069151,4.93930625600087,5.31336017641667,4.80179550786164,4.68607714955073,4.75444462058805,5.03511598814263,5.46475892294492,4.78036575351024
"ENSG00000163611",152185,"SPICE1",12.0850895957158,12.4127487172921,13.2678732306231,12.1703377472788,12.373398587198,12.5484851773916,12.84536427057,11.9346647637015,12.1322745222611,11.9312800645829
"ENSG00000169696",79058,"ASPSCR1",8.50556503614562,8.42482349617825,8.80256236347743,8.32911456404625,8.6392481229631,8.6223366827322,8.38279171090988,8.48475593771582,8.534244490511,8.453679848458
"ENSG00000105708",7561,"ZNF14",8.65802662991084,9.11544300169063,7.91981044056684,8.47936764739404,8.3339922501058,8.1007864991471,8.10751067132613,8.50439466153854,8.75843850500544,7.84375749213748
"ENSG00000156042",118491,"TTC18",5.72159194789566,5.55712035477005,5.65487304329589,5.18567278010657,5.1397380760095,5.3767112527272,5.30933797680237,5.9310913737922,5.8367773455238,5.32086016823607
"ENSG00000171443",147807,"ZNF524",5.38442102628343,5.50304654230017,5.07342482916069,5.91170825832327,5.315401014419,5.70375863818237,5.4660356986802,4.96196522107549,5.07345255402583,5.67353010042903
"ENSG00000237669",NA,"HCG4P3",4.67050226832838,4.86638489070362,5.07342482916069,4.68391578200042,4.66451533263707,4.83207515309658,4.99723756767575,4.64815398230621,4.99646340112394,4.64926641150223
"ENSG00000100711",79038,"ZFYVE21",4.91667051133938,5.38475506748666,4.33057497578978,5.4243474966848,4.99408455497058,4.68607714955073,4.99723756767575,5.21664631009443,5.14261493160186,5.45341597542655
"ENSG00000102144",5230,"PGK1",5.27718777135377,5.79156572122929,4.93930625600087,5.18567278010657,4.90643818311714,5.31917690005135,5.4660356986802,5.52834069074461,5.7033332994528,5.45341597542655
"ENSG00000127483",50809,"HP1BP3",4.81020568041892,5.38475506748666,4.76259711294854,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.64815398230621,4.66572829409432,4.78036575351024
