"Node1","Sign","Node2","Weight"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",1,"E2F3",100
"AKT1",-1,"GSK3B",12.9032258064516
"AKT1",1,"CTNNB1",96.7741935483871
"AKT1",1,"DLX5",96.7741935483871
"AKT1",1,"SMAD3",96.7741935483871
"AKT1",1,"SP7",96.7741935483871
"CAV1",1,"HMGA1",45.1612903225806
"CDC37_HSP90AA1",1,"AKT1",6.45161290322581
"CDK2",-1,"HMGA1",3.2258064516129
"CDK2",-1,"SMAD2",3.2258064516129
"CDK2",-1,"SMAD3",3.2258064516129
"CDK20",1,"CDK2",3.2258064516129
"CEBPB",1,"E2F4",100
"CEBPB",1,"RUNX2",100
"CTDSP2",-1,"SMAD1",100
"CTDSP2",-1,"SMAD2",100
"CTNNB1",1,"NR4A3",100
"FBXO3",-1,"HIPK2",6.45161290322581
"FOS",1,"JUN",100
"FRZB",1,"WNT1",3.2258064516129
"GSK3B",-1,"CTNNB1",12.9032258064516
"GSK3B",-1,"JUN",12.9032258064516
"GSK3B",-1,"KLF5",12.9032258064516
"GSK3B",-1,"MYC",12.9032258064516
"GSK3B",-1,"NFATC2",12.9032258064516
"GSK3B",-1,"NFKB2",12.9032258064516
"GSK3B",-1,"STAT2",12.9032258064516
"GTF2H1",-1,"E2F1",100
"HIPK1",-1,"MYB",100
"HIPK2",-1,"HMGA1",12.9032258064516
"INPP4B",-1,"AKT1",6.45161290322581
"JUN",1,"CTNNB1",100
"MED14",1,"STAT2",100
"MRTFB",1,"SRF",100
"MTCP1",1,"AKT1",6.45161290322581
"MYB",1,"MYC",100
"MYC",1,"SMAD2",100
"MYC",1,"SMAD3",100
"NFYA_NFYB_NFYC",1,"PLK1",100
"NKRF",-1,"NFKB2",100
"NKRF",-1,"REL",100
"NR0B2",1,"NR1H3",100
"NR0B2",1,"RARA",100
"NR0B2",1,"RXRB",100
"PDK2",1,"AKT1",6.45161290322581
"PDPK2P",1,"AKT1",6.45161290322581
"PHLPP2",-1,"AKT1",6.45161290322581
"PLK1",-1,"REST",100
"PPP2CA_PPP2R1A_PPP2R2A",-1,"AKT1",6.45161290322581
"PRKCD",-1,"CTNNB1",38.7096774193548
"PRKCD",-1,"HMGA1",38.7096774193548
"PRKCD",-1,"SRF",38.7096774193548
"PRKDC_XRCC6",1,"AKT1",6.45161290322581
"PTPA",-1,"AKT1",6.45161290322581
"PTPN14",-1,"CAV1",45.1612903225806
"PTPRG",1,"PRKCD",38.7096774193548
"PTPRG",1,"STAT2",9.67741935483871
"RARA",1,"CTNNB1",100
"RIOX1",-1,"SP7",100
"RPS27A_UBE2V2",1,"WWP1",80.6451612903226
"RXRB",1,"RARA",100
"RXRB",1,"VDR",100
"SAE1_UBA2",-1,"FOS",100
"SAE1_UBA2",-1,"JUN",100
"SENP1",-1,"AKT1",6.45161290322581
"SMAD1",1,"RUNX2",100
"SMAD2",1,"SP1",100
"SMAD3",1,"JUN",100
"SMURF2",-1,"KLF5",6.45161290322581
"STK40",-1,"CEBPB",100
"TCL1B",1,"AKT1",25.8064516129032
"THEM4",-1,"AKT1",6.45161290322581
"TLX3",-1,"ETS1",100
"UBC_UBE2V1",1,"SMURF2",6.45161290322581
"VDR",1,"CTNNB1",100
"VRK2",1,"NFATC2",100
"WNT1",1,"DLX5",3.2258064516129
"WSB1",-1,"HIPK2",6.45161290322581
"WWP1",1,"KLF5",80.6451612903226
"WWP1",1,"SMAD2",80.6451612903226
