,Node1,Sign,Node2,Weight
143,ABL1,1,STK3,0
144,ABL1,1,STK4,0
145,ABL1,1,SYK,0
146,ABL1,1,SYNJ2,0
147,ABL1,1,TARDBP,0
148,ABL1,1,TOP1,0
149,ABL1,1,TP53BP1,0
150,ABL1,1,TP63,0
151,ABL1,1,TP73,0
152,ABL1,1,TRIP10,0
153,ABL1,1,TUB,0
154,ABL1,1,VAV1,0
155,ABL1,1,VAV2,0
156,ABL1,1,VCL,0
157,ABL1,1,WASF2,0
158,ABL1,1,WASF3,0
159,ABL1,1,WASL,0
160,ABL1,1,YAP1,0
161,ABL1,1,ZDHHC16,0
162,ABL1,1,ZNF746,0
163,ABL2,-1,CRK,0
164,ABL2,-1,PSMA7,0
165,ABL2,1,CAT,0
166,ABL2,1,CEBPB,0
167,ABL2,1,CTTN,0
168,ABL2,1,GPX1,0
169,ABL2,1,IRF3,0
170,ABL2,1,LGALS3,0
171,ABL2,1,NFKBIB,0
172,ABL2,1,RAPH1,0
173,ABL2,1,RIN1,0
174,ABL2,1,SIVA1,0
175,ABL2,1,SORBS2,0
176,ABL2,1,WASL,0
177,ABR,-1,RAC1,0
178,ABRAXAS1,1,BRCA1,0
179,ACAA2,-1,BNIP3,0
180,ACAN,1,ITGA5_ITGB1,0
181,ACAN,1,ITGAV_ITGB3,0
182,ACAT1,-1,IDH2,0
183,ACAT1,-1,PDHA1,0
184,ACAT1,-1,PDHA2,0
185,ACAT1,-1,PDP1,0
186,ACAT1,1,ME1,0
187,ACD,-1,RPA1,0
188,ACD,-1,RPA2,0
189,ACD,-1,RPA3,0
190,ACD,1,TERT,0
191,ACD_POT1_TERF1_TERF2_TERF2IP_TINF2,-1,ATM,0
192,ACE,1,AGT,0
193,ACE2,1,AGT,0
194,ACE2,1,APLN,0
195,ACOX1,-1,TP73,0
196,ACP1,-1,AKT1,0
197,ACP1,-1,AKT2,0
198,ACP1,-1,AKT3,0
199,ACP1,-1,PDGFRB,0
200,ACP1,-1,PTK2,0
201,ACP1,1,CTNNB1,0
202,ACP1,1,EPHA2,0
203,ACP1,1,PKM,0
204,ACP1,1,SRC,0
205,ACP1,1,ZAP70,0
206,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,ATM,0
207,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H2AX,0
208,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H2AZ1,0
209,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H4C6,0
210,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,TP53,0
211,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,UBTF,0
212,ACTB,-1,ABL1,0
213,ACTB,-1,CFL1,0
214,ACTB,-1,PLD1,0
215,ACTB,1,ARPC2,0
216,ACTB,1,CTTN,0
217,ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1,1,H4C6,0
218,ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,-1,H4C6,0
219,ACTL6A,1,ATM,0
220,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,CDKN1A,0
221,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,E2F3,0
222,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,GADD45A,0
223,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,H4C6,0
224,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,RB1,0
225,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,TP53,0
226,ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,1,RUNX1,0
227,ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,1,TP53,0
228,ACTN1,-1,CAPN1,0
229,ACTN1,-1,PLD1,0
230,ACTR2,1,ACVR1B,0
231,ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L,1,CDH1,0
232,ACVR1,1,LIN7C_PALS1_PATJ,0
233,ACVR1,1,SMAD1,0
234,ACVR1,1,SMAD5,0
235,ACVR1,1,VPS39,0
236,ACVR1B,1,SMAD2,0
237,ACVR1B,1,SMAD3,0
238,ACVR1B,1,TDP2,0
239,ACVR1C,1,SMAD2,0
240,ACVR1C,1,SMAD3,0
241,ACVR2A,1,ACVR1,0
242,ACVR2A,1,ACVR1B,0
