"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"95","5","GO Biological Process","","Regulation of Notch signaling pathway","0.0093","STAT3|TP63|GATA2|WWP2|AKT1","45910","46305|46128|46044|46212|46374","5.1E-4","","GO:0008593","0.20315170514460648","0"
"95","5","GO Biological Process","","Regulation of epithelial to mesenchymal transition","0.0093","SMAD2|EZH2|SMAD3|GATA3|CTNNB1","45910","46113|46026|46215|46125|46233","5.1E-4","","GO:0010717","0.20315170514460648","0"
"341","9","GO Biological Process","","Regulation of intracellular transport","0.0093","CSNK2A2|MAPK3|PRKACA|GSK3B|PRKCD|SMAD3|ZC3H12A|MAPK8|UHMK1","45910","46080|46029|46014|46338|46008|46215|46350|46284|46383","5.1E-4","","GO:0032386","0.20315170514460648","0"
"95","5","GO Biological Process","","Embryonic skeletal system morphogenesis","0.0093","SMAD2|SMAD3|RUNX2|CTNNB1|TFAP2A","45910","46113|46215|46260|46233|46056","5.1E-4","","GO:0048704","0.20315170514460648","0"
"10","3","DISEASES","","Osteosarcoma","0.0093","TP53|ATRX|EWSR1","45910","46335|46299|46062","7.51E-5","","DOID:3347","0.20315170514460648","0"
"147","6","GO Biological Process","","Response to nutrient","0.0094","USF2|CYP27B1|RARA|SRF|RUNX2|HSF1","45910","46371|46101|46323|46368|46260|46203","5.2E-4","","GO:0007584","0.20268721464003012","0"
"147","6","GO Biological Process","","Negative regulation of inflammatory response","0.0094","NFKB1|PRKCD|SMAD3|GATA3|PPARA|NR1H3","45910","46254|46008|46215|46125|46119|46140","5.2E-4","","GO:0050728","0.20268721464003012","0"
"147","6","GO Biological Process","","Positive regulation of small molecule metabolic process","0.0094","PPARA|HIF1A|HNF1A|AKT1|NR1H3|NR4A3","45910","46119|46071|46083|46374|46140|46377","5.2E-4","","GO:0062013","0.20268721464003012","0"
"31","4","DISEASES","","Stomach cancer","0.0095","TP53|AKT1|MYC|CTNNB1","45910","46335|46374|46191|46233","7.89E-5","","DOID:10534","0.20222763947111524","0"
"398","11","DISEASES","","Endocrine system disease","0.0096","CYP27B1|SOX9|GATA6|TP53|PRKACA|NR5A1|SRY|HNF1A|AKT1|MYC|CTNNB1","45910","46101|46239|46278|46335|46014|46320|46023|46083|46374|46191|46233","8.12E-5","","DOID:28","0.20177287669604316","0"
"148","6","GO Biological Process","","Positive regulation of cysteine-type endopeptidase activity","0.0097","PPM1F|CASP6|REST|SMAD3|HSF1|MYC","45910","46365|46167|46122|46215|46203|46191","5.4E-4","","GO:2001056","0.20132282657337552","0"
"104","6","DISEASES","","Leukemia","0.01","SPI1|RARA|KAT6A|TP53|RUNX1|CBFB","45910","46314|46323|46185|46335|46194|46269","8.67E-5","","DOID:1240","0.2","0"
"13","3","GO Molecular Function","","Nuclear glucocorticoid receptor binding","0.0102","CEBPB|SMAD3|NR4A3","45910","46053|46215|46377","1.4E-4","","GO:0035259","0.19913998282380824","0"
"54","4","GO Biological Process","","Endoderm formation","0.0103","NANOG|SMAD2|GATA6|CTNNB1","45910","46245|46113|46278|46233","5.7E-4","","GO:0001706","0.1987162775294828","0"
"54","4","GO Biological Process","","Osteoclast differentiation","0.0103","JUNB|FOS|MITF|CTNNB1","45910","46272|46002|46146|46233","5.7E-4","","GO:0030316","0.1987162775294828","0"
"22","3","GO Biological Process","","Embryonic hemopoiesis","0.0103","ATF4|GATA3|HIF1A","45910","46197|46125|46071","5.7E-4","","GO:0035162","0.1987162775294828","0"
"54","4","GO Biological Process","","Skeletal muscle cell differentiation","0.0103","EGR1|EGR2|FOS|KLF5","45910","46296|46251|46002|46257","5.7E-4","","GO:0035914","0.1987162775294828","0"
"22","3","GO Biological Process","","Negative regulation of CD4-positive, alpha-beta T cell differentiation","0.0103","RUNX1|ZC3H12A|CBFB","45910","46194|46350|46269","5.7E-4","","GO:0043371","0.1987162775294828","0"
"54","4","GO Biological Process","","Positive regulation of neuron apoptotic process","0.0103","TP53|ATF4|CTNNB1|TFAP2A","45910","46335|46197|46233|46056","5.7E-4","","GO:0043525","0.1987162775294828","0"
"22","3","GO Biological Process","","Sympathetic nervous system development","0.0103","TP63|GATA3|CTNNB1","45910","46128|46125|46233","5.7E-4","","GO:0048485","0.1987162775294828","0"
