"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","P",0,100,0,100
"AEBP2_EED_EZH2_RBBP4_SUZ12","",51.1627906976744,0,48.8372093023256,-48.8372093023256
"AKT1","",72.0930232558139,27.906976744186,0,27.906976744186
"AMER1","P",0,100,0,100
"ASCL1","M",0,100,0,100
"ATF1","M",0,100,0,100
"ATF2","M",0,100,0,100
"ATF4","M",0,100,0,100
"ATRX","P",51.1627906976744,0,48.8372093023256,-48.8372093023256
"BCL6","M",0,0,100,-100
"BIRC6_UBA52","P",30.2325581395349,69.7674418604651,0,69.7674418604651
"BTRC_CUL1_SKP1","",74.4186046511628,0,25.5813953488372,-25.5813953488372
"CAPN1_CAPNS1","P",2.32558139534884,0,97.6744186046512,-97.6744186046512
"CASP6","",0,100,0,100
"CASP9","",23.2558139534884,76.7441860465116,0,76.7441860465116
"CCND1","",9.30232558139535,90.6976744186046,0,90.6976744186046
"CCND2","",97.6744186046512,2.32558139534884,0,2.32558139534884
"CCND3_CDK6","P",95.3488372093023,0,4.65116279069767,-4.65116279069767
"CDC25A","",93.0232558139535,6.97674418604651,0,6.97674418604651
"CDK5","",2.32558139534884,0,97.6744186046512,-97.6744186046512
"CDK6","",0,100,0,100
"CEBPB","",0,100,0,100
"CLOCK","M",0,0,100,-100
"CSNK1A1","",97.6744186046512,0,2.32558139534884,-2.32558139534884
"CSNK2A1","",0,100,0,100
"CSNK2A1_CSNK2B","P",83.7209302325581,16.2790697674419,0,16.2790697674419
"CSNK2A2","P",0,100,0,100
"CTCF","M",0,100,0,100
"CTNNB1","M",0,100,0,100
"CUL1_FBXW7_RBX1_SKP1","P",0,0,100,-100
"DLX5","M",0,100,0,100
"DNMT1","M",0,100,0,100
"DNMT3A","M",0,100,0,100
"DTX1","",25.5813953488372,0,74.4186046511628,-74.4186046511628
"DUSP10","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"DUSP26","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"DUSP7","P",83.7209302325581,0,16.2790697674419,-16.2790697674419
"DUSP8","P",97.6744186046512,2.32558139534884,0,2.32558139534884
"DUSP9","P",88.3720930232558,11.6279069767442,0,11.6279069767442
"E2F1","M",0,100,0,100
"E2F2","M",0,100,0,100
"E2F3","M",0,100,0,100
"E2F4","M",0,100,0,100
"EP300","M",0,100,0,100
"EPAS1","M",0,100,0,100
"ERG","M",0,100,0,100
"ETS1","M",0,100,0,100
"EWSR1","M",0,100,0,100
"FAM83B","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"FBXO33","P",53.4883720930233,20.9302325581395,25.5813953488372,-4.65116279069768
"FLI1","M",0,100,0,100
"FOS","M",0,100,0,100
"FOXM1","M",0,100,0,100
"FRZB","P",0,100,0,100
"GATA3","M",0,100,0,100
"GATA6","M",0,100,0,100
"GLI1","M",0,100,0,100
"GLI2","M",0,100,0,100
"GLI3","M",0,100,0,100
"GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y","P",0,100,0,100
"GSK3A","",97.6744186046512,0,2.32558139534884,-2.32558139534884
"GSK3B","",0,2.32558139534884,97.6744186046512,-95.3488372093023
"HDAC1","M",0,0,100,-100
"HDLBP","P",0,100,0,100
"HELLS","P",0,100,0,100
"HEY1","M",0,100,0,100
"HOXD12","P",0,0,100,-100
"IKZF1","M",0,0,100,-100
"IRF3","M",0,100,0,100
"JAZF1","P",0,0,100,-100
"KDM5B","M",0,100,0,100
"KLHL22","P",0,100,0,100
"LDB1","",0,100,0,100
"LHX2","M",0,100,0,100
"MAF","M",0,100,0,100
"MAP3K2","P",81.3953488372093,18.6046511627907,0,18.6046511627907
"MAP3K6","P",95.3488372093023,4.65116279069767,0,4.65116279069767
"MAPK1","",23.2558139534884,76.7441860465116,0,76.7441860465116
"MAPK14","",90.6976744186046,9.30232558139535,0,9.30232558139535
"MAPK3","",76.7441860465116,23.2558139534884,0,23.2558139534884
"MRTFB","P",0,100,0,100
"MYB","M",0,100,0,100
"MYBL2","M",0,100,0,100
"MYC","M",0,100,0,100
"MYOD1","M",0,100,0,100
"NANOG","M",0,100,0,100
"NCOA3","",74.4186046511628,25.5813953488372,0,25.5813953488372
"NFE2L2","M",0,100,0,100
"NFIC","M",0,100,0,100
"NFKB2","M",0,100,0,100
"NFYA","M",0,100,0,100
"NFYB","M",0,100,0,100
"NKRF","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"NKX2_5","M",0,100,0,100
"NKX3_1","M",0,100,0,100
"NR0B2","P",0,100,0,100
"NR1H2","M",0,100,0,100
"NR1H3","M",0,100,0,100
"NR2C2","M",0,100,0,100
"NR2F2","M",0,100,0,100
"NRTN","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"NSD3","P",4.65116279069767,95.3488372093023,0,95.3488372093023
"PARP1","",48.8372093023256,0,51.1627906976744,-51.1627906976744
"PATZ1","P",90.6976744186046,0,9.30232558139535,-9.30232558139535
"PAX3","M",0,100,0,100
"PFKFB4","P",76.7441860465116,23.2558139534884,0,23.2558139534884
"PLK1","",0,0,100,-100
"POU2AF1","P",0,100,0,100
"POU2F1","M",0,100,0,100
"PPP2CA_PPP2R5A_PTPA","P",27.906976744186,0,72.0930232558139,-72.0930232558139
"PRKCH","P",79.0697674418605,20.9302325581395,0,20.9302325581395
"PROX1","M",0,100,0,100
"PTPRB","P",72.0930232558139,6.97674418604651,20.9302325581395,-13.953488372093
"PTPRE","P",76.7441860465116,0,23.2558139534884,-23.2558139534884
"RARA","M",0,100,0,100
"RB1","",0,0,100,-100
"RBPJ","M",0,100,0,100
"RELA","M",0,100,0,100
"RELB","M",0,100,0,100
"REST","M",0,100,0,100
"RET","",97.6744186046512,0,2.32558139534884,-2.32558139534884
"RITA1","P",0,0,100,-100
"RLIM","",0,0,100,-100
"RNF4","",0,100,0,100
"RPS27A_UBE2D3","P",48.8372093023256,51.1627906976744,0,51.1627906976744
"RPS27A_UBE2E3","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"RPS27A_UBE2G2","P",6.97674418604651,0,93.0232558139535,-93.0232558139535
"RPS27A_UBE2J1","P",93.0232558139535,0,6.97674418604651,-6.97674418604651
"RPS27A_UBE2L5","P",93.0232558139535,0,6.97674418604651,-6.97674418604651
"RPS27A_UBE2N","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"RPS27A_UBE2Q1","P",95.3488372093023,0,4.65116279069767,-4.65116279069767
"RPS27A_UBE2Q2","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"RPS27A_UBE2R2","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"RPS27A_UBE2T","P",20.9302325581395,0,79.0697674418605,-79.0697674418605
"RPS27A_UBE2V2","P",32.5581395348837,67.4418604651163,0,67.4418604651163
"RPS6KA2","",97.6744186046512,2.32558139534884,0,2.32558139534884
"RPS6KA3","",55.8139534883721,44.1860465116279,0,44.1860465116279
"RUNX1","M",0,100,0,100
"RUNX2","M",0,100,0,100
"SATB1","M",0,100,0,100
"SF1","",0,0,100,-100
"SIX1","",97.6744186046512,0,2.32558139534884,-2.32558139534884
"SMAD1","M",0,100,0,100
"SMAD2","M",0,100,0,100
"SMAD3","M",0,100,0,100
"SMAD4","M",0,100,0,100
"SMAD5","M",0,100,0,100
"SMARCA1","M",0,100,0,100
"SMURF1","",0,0,100,-100
"SNAI1","M",0,100,0,100
"SOX10","",74.4186046511628,25.5813953488372,0,25.5813953488372
"SP1","M",0,100,0,100
"SP3","M",0,100,0,100
"SREBF1","M",0,0,100,-100
"SRF","M",0,100,0,100
"SRY","M",0,100,0,100
"SSRP1_SUPT16H","P",81.3953488372093,18.6046511627907,0,18.6046511627907
"STAT1","M",0,100,0,100
"STAT5A","M",0,100,0,100
"STK33","P",93.0232558139535,6.97674418604651,0,6.97674418604651
"STK38","",0,100,0,100
"STK40","P",44.1860465116279,0,55.8139534883721,-55.8139534883721
"SUMO3","P",46.5116279069767,53.4883720930233,0,53.4883720930233
"TCF7L2","M",0,100,0,100
"TFAP2A","M",0,100,0,100
"TFDP1","M",0,100,0,100
"TFE3","M",0,100,0,100
"TLX3","P",0,0,100,-100
"TP63","M",0,100,0,100
"TP73","",76.7441860465116,23.2558139534884,0,23.2558139534884
"TSC22D3","P",44.1860465116279,2.32558139534884,53.4883720930233,-51.1627906976744
"UBA52_UBE2A","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBA52_UBE2G1","P",27.906976744186,72.0930232558139,0,72.0930232558139
"UBA52_UBE2G2","P",2.32558139534884,0,97.6744186046512,-97.6744186046512
"UBA52_UBE2K","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"UBA52_UBE2L5","P",41.8604651162791,55.8139534883721,2.32558139534884,53.4883720930233
"UBA52_UBE2L6","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBA52_UBE2Q1","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBA52_UBE2R2","P",95.3488372093023,0,4.65116279069767,-4.65116279069767
"UBB_UBE2A","P",0,0,100,-100
"UBB_UBE2B","P",2.32558139534884,2.32558139534884,95.3488372093023,-93.0232558139535
"UBB_UBE2C","P",0,0,100,-100
"UBB_UBE2E1","P",2.32558139534884,2.32558139534884,95.3488372093023,-93.0232558139535
"UBB_UBE2E2","P",2.32558139534884,0,97.6744186046512,-97.6744186046512
"UBB_UBE2E3","P",0,0,100,-100
"UBB_UBE2G1","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBB_UBE2I","P",0,0,100,-100
"UBB_UBE2L5","P",60.4651162790698,0,39.5348837209302,-39.5348837209302
"UBB_UBE2L6","P",9.30232558139535,0,90.6976744186046,-90.6976744186046
"UBB_UBE2M","P",0,0,100,-100
"UBB_UBE2N","P",2.32558139534884,0,97.6744186046512,-97.6744186046512
"UBB_UBE2V1","P",0,2.32558139534884,97.6744186046512,-95.3488372093023
"UBB_UBE2Z","P",0,0,100,-100
"UBC_UBE2C","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBC_UBE2E2","P",2.32558139534884,0,97.6744186046512,-97.6744186046512
"UBC_UBE2H","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBC_UBE2L3","P",4.65116279069767,0,95.3488372093023,-95.3488372093023
"UBC_UBE2M","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"UBC_UBE2R2","P",97.6744186046512,0,2.32558139534884,-2.32558139534884
"UBC_UBE2T","P",79.0697674418605,0,20.9302325581395,-20.9302325581395
"UBC_UBE2U","P",9.30232558139535,86.046511627907,4.65116279069767,81.3953488372093
"UBC_UBE2V1","P",0,0,100,-100
"UHMK1","P",0,0,100,-100
"ULK3","P",0,100,0,100
"USP5","P",97.6744186046512,2.32558139534884,0,2.32558139534884
"VDR","M",0,100,0,100
"WDR83","P",97.6744186046512,2.32558139534884,0,2.32558139534884
"WNT1","",39.5348837209302,60.4651162790698,0,60.4651162790698
"WT1","M",0,100,0,100
"WWTR1","",2.32558139534884,97.6744186046512,0,97.6744186046512
"ZBTB17","M",0,100,0,100
