"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"NSD3","P",36,64,0,64
"OTX2","M",0,0,100,-100
"PATZ1","P",2,0,98,-98
"PAX3","M",0,100,0,100
"PAX5","M",0,100,0,100
"PAX6","M",0,0,100,-100
"PBX1","M",0,0,100,-100
"PCBD1","P",0,100,0,100
"PCSK7","P",0,100,0,100
"PDHX","P",99,0,1,-1
"PDX1","M",0,0,100,-100
"PFKFB4","P",1,99,0,99
"PHLPP2","P",62,38,0,38
"PITX1","",0,0,100,-100
"PITX3","P",0,100,0,100
"POU1F1","M",0,0,100,-100
"POU2AF1","P",0,100,0,100
"POU2F1","M",0,100,0,100
"POU4F1","M",0,0,100,-100
"POU4F3","",0,0,100,-100
"POU5F1","M",0,100,0,100
"PPARGC1A","M",0,100,0,100
"PPM1F","P",54,46,0,46
"PRDM1","M",0,0,100,-100
"PRKCA","",51,0,49,-49
"PRMT5","",0,0,100,-100
"PROX1","M",0,100,0,100
"PTPN1","",0,100,0,100
"PTPRB","P",70,0,30,-30
"Q6FI27","P",99,0,1,-1
"RARA","M",0,100,0,100
"RARB","M",0,100,0,100
"RARG","M",0,100,0,100
"RB1","M",0,0,100,-100
"RBCK1_RNF31","P",48,52,0,52
"RBPJ","M",0,100,0,100
"RCOR1","",0,100,0,100
"REL","M",0,100,0,100
"RELA","M",0,100,0,100
"RELB","M",0,100,0,100
"REST","M",0,100,0,100
"RIOX1","P",0,0,100,-100
"RIT2","",0,0,100,-100
"RITA1","P",0,0,100,-100
"RNF4","",0,100,0,100
"RPS27A_UBE2C","P",97,3,0,3
"RPS27A_UBE2D2","P",99,1,0,1
"RPS27A_UBE2D3","P",98,0,2,-2
"RPS27A_UBE2E2","P",98,0,2,-2
"RPS27A_UBE2G1","P",99,1,0,1
"RPS27A_UBE2I","P",99,1,0,1
"RPS27A_UBE2J1","P",98,0,2,-2
"RPS27A_UBE2L3","P",99,1,0,1
"RPS27A_UBE2L5","P",99,1,0,1
"RPS27A_UBE2NL","P",98,0,2,-2
"RPS27A_UBE2Q2","P",99,1,0,1
"RPS27A_UBE2U","P",99,1,0,1
"RPS27A_UBE2V1","P",98,0,2,-2
"RUNX1","M",0,0,100,-100
