"Node1","Sign","Node2","Weight"
"SMAD3",1,"JUN",100
"SMAD3",1,"NANOG",100
"SOX9",1,"MITF",100
"SP2",1,"IRF1",100
"STAT3",1,"EGR1",100
"STAT3",1,"JUNB",100
"STAT3",1,"RELA",100
"STAT3",1,"SPI1",100
"STK40",-1,"CEBPB",100
"THEM4",-1,"AKT1",100
"TLX3",-1,"ETS1",100
"TNIK",-1,"SMAD1",100
"TP53",1,"CASP6",100
"TP53",1,"NFKB2",100
"TP53",1,"TP63",100
"TP53",1,"VDR",100
"UHMK1",1,"SF1",100
"VDR",1,"CTNNB1",100
"WT1",1,"SRY",100
"WWP2",-1,"EGR2",100
"ZC3H12A",1,"GATA2",100
