"Node1","Sign","Node2","Weight"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",1,"E2F3",100
"AMER1",1,"GSK3B",100
"AMER1",1,"WT1",100
"ATF2",1,"ATF3",100
"ATF2",1,"JUN",100
"BIRC6_UBC",1,"BRCA1",100
"BIRC6_UBC",1,"HUWE1",100
"CASP6",1,"SATB1",100
"CASP9",1,"CASP6",100
"CDK1",-1,"CASP9",100
"CDK1",-1,"CUX1",100
"CDK1",-1,"HMGA1",100
"CDK1",-1,"HMGA2",100
"CDK1",-1,"NCOA3",100
"CDK1",1,"BRCA1",100
"CDK1",1,"PLK1",100
"CDK1",1,"TP53",100
"CDK10",-1,"ETS2",100
"CDK4",-1,"BRCA1",100
"CDK4",1,"TFE3",100
"CEBPE",1,"CEBPG",100
"CHUK",-1,"RELB",100
"CHUK",1,"CREBBP",100
"CHUK",1,"MECP2",100
"CLK4",1,"NR5A1",100
"CRBN_CUL4A_DDB1_RBX1",-1,"MYC",100
"CRBN_CUL4A_DDB1_RBX1",-1,"PROX1",100
"CREBBP",1,"POU1F1",100
"CREBBP",1,"TP53",100
"CREBBP_EP300",-1,"FLI1",100
"CSNK2A1",1,"CTNNB1",100
"CSNK2A1",1,"MAZ",100
"CSNK2A1",1,"MEF2C",100
"CSNK2A1",1,"NKX2_5",100
"CSNK2A1",1,"SRF",100
"CSNK2A1",1,"TFAP2A",100
"CSNK2A1",1,"VDR",100
"CSNK2A1_CSNK2B",-1,"ATF1",100
"CSNK2A1_CSNK2B",-1,"SSRP1",100
"CSNK2A1_CSNK2B",1,"TP53",100
"CSNK2A2",1,"CTNNB1",100
"CSNK2A2",1,"NKX3_1",100
"CTNNB1",1,"HNF1A",100
"CTNNB1",1,"NR4A3",100
"CTNNB1",1,"TCF3",100
"DPF2",-1,"ESRRA",100
"DUSP19",1,"MAPK8",100
"DUSP7",-1,"MAPK14",100
"EHMT2",1,"DNMT3B",100
"FBXO33",-1,"YBX1",100
"FBXO45",-1,"SNAI2",100
"FBXO45",-1,"ZEB1",100
"GSK3B",-1,"CDK1",100
"GSK3B",-1,"SNAI2",100
"GSK3B",1,"CEBPB",100
"GSK3B",1,"ETS1",100
"GSK3B",1,"MITF",100
"GSK3B",1,"SMAD1",100
"GSK3B",1,"SMAD3",100
"GSK3B",1,"USF2",100
"HIF1AN",-1,"EPAS1",100
"HIF1AN",-1,"HIF1A",100
"HUWE1",-1,"MYCN",100
"HUWE1",-1,"TBP",100
"HUWE1",-1,"ZBTB17",100
"JARID2",-1,"NKX2_5",100
"JDP2",-1,"ATF2",100
"JDP2",-1,"JUN",100
"JUN",1,"CTNNB1",100
"JUN",1,"SPI1",100
"MAP3K2",1,"CHUK",100
"MAP3K2",1,"MAPK1",100
"MAPK1",-1,"CASP9",100
"MAPK1",-1,"GSK3B",100
"MAPK1",-1,"NR3C2",100
"MAPK1",-1,"SMAD1",100
"MAPK1",-1,"TCF3",100
"MAPK1",1,"CREBBP",100
"MAPK1",1,"TP53",100
"MAPK14",-1,"MAPK1",100
"MAPK14",1,"ATF2",100
"MAPK14",1,"CSNK2A1",100
"MAPK14",1,"DLX5",100
"MAPK14",1,"ELK1",100
"MAPK14",1,"ETS1",100
"MAPK14",1,"ETS2",100
"MAPK14",1,"JUN",100
"MAPK14",1,"JUNB",100
"MAPK14",1,"MEF2C",100
"MAPK14",1,"MYC",100
"MAPK14",1,"NCOA3",100
"MAPK14",1,"PPARGC1A",100
"MAPK14",1,"RARA",100
"MAPK14",1,"SMAD3",100
"MAPK14",1,"SP7",100
"MAPK14",1,"TCF3",100
"MAPK8",-1,"E2F1",100
"MAPK8",-1,"NFATC4",100
"MAPK8",1,"JDP2",100
"MAPK8",1,"TP53",100
"MED14",1,"STAT2",100
"MEF2C",1,"JUN",100
"MYC",1,"CDK4",100
"MYC",1,"SMAD3",100
"NCOA3",1,"ATF4",100
"NFKB2",1,"RELB",100
"NFYA",1,"SP1",100
"NR0B2",1,"NR1H2",100
"NR0B2",1,"NR1H3",100
"NR0B2",1,"NR1I2",100
"NR0B2",1,"NR1I3",100
"NR0B2",1,"NR5A2",100
"NR0B2",1,"RARA",100
"NR0B2",1,"RARB",100
"NR0B2",1,"SIRT1",100
"PDHX",-1,"CDX2",100
"PHIP",1,"CRBN_CUL4A_DDB1_RBX1",100
"PIM2",1,"NFATC1",66.6666666666667
"PIM3",1,"NFATC1",66.6666666666667
"PLK1",-1,"REST",100
"PRP4K",1,"ELK1",100
"PTMS",1,"NCOA1",100
"RARA",1,"CASP9",100
"RARA",1,"CTNNB1",100
"RARA",1,"RARG",100
"RARB",1,"RARG",100
"RIOX1",-1,"SP7",100
"RITA1",-1,"RBPJ",100
"SIRT1",-1,"FOXO3",100
"SIRT1",-1,"TP53",100
"SIRT1",1,"CTNNB1",100
"SIRT1",1,"PPARGC1A",100
"SMAD3",-1,"NKX2_1",100
"SMAD3",1,"GATA3",100
"SMAD3",1,"JUN",100
"SMAD3",1,"MEF2C",100
"SP1",1,"SMARCA1",100
"SP2",1,"IRF1",100
"STK40",-1,"CEBPB",100
"TP53",-1,"DNMT1",100
"TP53",-1,"ETS1",100
"TP53",-1,"HIF1A",100
"TP53",-1,"NFYA",100
"TP53",-1,"NFYB",100
"TP53",1,"CREBBP_EP300",100
"TP53",1,"PRDM1",100
"TSC22D3",-1,"NFKB2",100
"UBC_UBE2Q1",1,"WWP1",100
"ULK3",1,"GLI3",100
"VDR",1,"CTNNB1",100
"WEE2",-1,"CDK1",100
"WT1",1,"SRY",100
"WWP1",1,"KLF5",100
"ZNF462",-1,"PBX1",100
