"Node1","Sign","Node2","Weight"
"EP300",1,"FLI1",100
"EP300",1,"HIF1A",100
"EP300",1,"MEF2A",100
"EP300",1,"MEF2C",100
"EP300",1,"MYB",100
"EP300",1,"MYOD1",100
"EP300",1,"RELA",100
"EP300",1,"RUNX2",100
"EP300",1,"SMAD1",100
"EP300",1,"SMAD2",100
"EP300",1,"SMAD3",100
"EP300",1,"SMAD4",100
"EP300",1,"STAT3",100
"EP300",1,"STAT5A",100
"EP300",1,"STAT6",100
"EP300",1,"TP63",100
"EP300",1,"XBP1",100
"ETS1",1,"STAT1",100
"FBXO45",-1,"SNAI2",100
"FBXO45",-1,"ZEB1",100
"FHL5",1,"CREM",100
"FLI1",1,"GATA1",100
"FOS",1,"NFAT5",100
"FOXM1",1,"CCND1",17
"FOXM1",1,"CTNNB1",100
"FOXM1",1,"FOS",100
"FOXM1",1,"MYC",100
"FOXO3",1,"BCL6",100
"GATA1",1,"RUNX1",100
"GLI1",1,"CDK2",1
"GLI1",1,"NANOG",100
"GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y",1,"NR2F2",100
"GSK3A",-1,"CTNNB1",100
"GSK3A",-1,"GATA6",100
"GSK3A",-1,"MYC",100
"GSK3A",-1,"NCOA3",100
"GSK3A",-1,"NFATC1",100
"GSK3A",-1,"STAT2",100
"GSK3B",-1,"FOXP3",100
"GSK3B",-1,"PDX1",100
"GSK3B",-1,"SNAI2",100
"GSK3B",1,"AHR",100
"GSK3B",1,"CCND1",17
"GSK3B",1,"CEBPA",100
"GSK3B",1,"CEBPB",100
"GSK3B",1,"ETS1",100
"GSK3B",1,"GLI1",100
"GSK3B",1,"IRF3",100
"GSK3B",1,"KAT5",100
"GSK3B",1,"KLF6",100
"GSK3B",1,"MITF",100
"GSK3B",1,"NFKB1",100
"GSK3B",1,"PAX3",100
"GSK3B",1,"RELA",100
"GSK3B",1,"RXRA",100
"GSK3B",1,"SMAD1",100
"GSK3B",1,"SMAD3",100
"GSK3B",1,"USF1",100
"GSK3B",1,"USF2",100
"HAP1",1,"NEUROD1",100
"HDLBP",1,"BRCA1",100
"HDLBP",1,"CTCF",100
"HIF1AN",-1,"EP300",100
"HIF1AN",-1,"EPAS1",100
"HIF1AN",-1,"HIF1A",100
"HOXB8",1,"PBX1",100
"HOXD12",-1,"MAF",100
"HSPA2",-1,"MAPK8",10
"HUWE1",-1,"BRCA1",100
"HUWE1",-1,"KAT7",100
"HUWE1",-1,"KLF4",100
"HUWE1",-1,"MYCN",100
"HUWE1",-1,"MYOD1",100
"HUWE1",-1,"PPARA",100
"HUWE1",-1,"TBP",100
"HUWE1",-1,"ZBTB17",100
"ID2",-1,"TCF12",100
"ID3",-1,"TCF12",100
"IL10RA_IL10RB",1,"JAK1",45
"IRF1",1,"IRF8",100
"JAK1",1,"DBP",45
"JAK1",1,"STAT1",45
"JAK1",1,"STAT2",45
"JAK1",1,"STAT3",45
"JAK1",1,"STAT5A",45
"JAK1",1,"STAT5B",45
"JAK1",1,"STAT6",45
"JAK2",1,"DBP",55
"JAK2",1,"MYC",55
"JAK2",1,"STAT1",55
"JAK2",1,"STAT3",55
"JAK2",1,"STAT5A",55
"JAK2",1,"STAT5B",55
"JAK2",1,"STAT6",55
"JARID2",-1,"GATA4",100
"JARID2",-1,"NKX2_5",100
"JAZF1",-1,"NR2C2",100
"JDP2",-1,"ATF2",100
"KAT5",1,"MYC",100
"KAT5",1,"MYOD1",100
"KLF4",1,"NANOG",100
"KLHL22",-1,"PLK1",40
"KMT2A",1,"CDKN2C",16
"KMT2A",1,"HOXA10",100
"KMT2A",1,"MYC",100
"KMT2A",1,"RELB",100
"KMT2A",1,"RUNX1",100
"KMT2A",1,"SPI1",100
"LATS1",-1,"MTF1",100
"LATS1",-1,"WWTR1",100
"LDB1",1,"LHX2",100
"LEF1",1,"MITF",100
"MAF",1,"NFE2L2",100
"MAPK1",-1,"CEBPA",100
"MAPK1",-1,"GSK3B",100
"MAPK1",-1,"NR3C2",100
"MAPK1",-1,"PAX5",100
"MAPK1",-1,"PGR",100
"MAPK1",-1,"POU5F1",100
"MAPK1",-1,"RORA",100
"MAPK1",-1,"RXRA",100
"MAPK1",-1,"SMAD1",100
"MAPK1",-1,"TCF3",100
"MAPK1",-1,"TFCP2",100
"MAPK1",1,"CDK2",98
"MAPK1",1,"DYRK1B",48
"MAPK1",1,"PARP1",20
"MAPK3",-1,"BCL6",100
"MAPK3",-1,"CREM",100
"MAPK3",-1,"FOXO3",100
"MAPK3",-1,"STK11",100
"MAPK3",-1,"THRB",100
"MAPK3",1,"ATF2",100
"MAPK3",1,"CEBPB",100
"MAPK3",1,"E2F1",100
"MAPK3",1,"ELK1",100
"MAPK3",1,"EP300",100
"MAPK3",1,"EPAS1",100
"MAPK3",1,"ETS1",100
"MAPK3",1,"FOS",100
"MAPK3",1,"GABPA",100
"MAPK3",1,"GATA1",100
"MAPK3",1,"HIF1A",100
"MAPK3",1,"JUND",100
"MAPK3",1,"MAZ",100
"MAPK3",1,"MYC",100
"MAPK3",1,"NCOA1",100
"MAPK3",1,"NFATC4",100
"MAPK3",1,"PPARA",100
"MAPK3",1,"RUNX2",100
"MAPK3",1,"SMAD1",100
"MAPK3",1,"SMAD2",100
"MAPK3",1,"SMAD3",100
"MAPK3",1,"SMAD4",100
"MAPK3",1,"SP1",100
"MAPK3",1,"SP3",100
"MAPK3",1,"SREBF1",100
"MAPK3",1,"SREBF2",100
"MAPK3",1,"STAT3",100
"MAPK3",1,"STAT5A",100
"MAPK3",1,"TWIST1",100
"MAPK8",-1,"E2F1",100
"MAPK8",-1,"HSF1",100
"MAPK8",-1,"NFATC2",100
"MAPK8",-1,"NFATC4",100
"MAPK8",-1,"RXRA",100
"MAPK8",-1,"STAT6",100
"MAPK8",1,"JDP2",100
"MEF2A",1,"MYOD1",100
"MEF2C",1,"MYOD1",100
"MEN1",1,"KMT2A",100
"MYB",1,"GATA3",100
"MYB",1,"MYC",100
"MYC",1,"CCND2",67
"MYC",1,"SMAD2",100
"MYC",1,"SMAD3",100
"MYC",1,"TFDP1",100
"NCOA1",1,"STAT5A",100
"NCOA1",1,"STAT5B",100
"NCOA2",1,"RARA",100
"NCOA2",1,"RXRA",100
"NCOA3",1,"ATF4",100
"NCOR2",1,"PGR",100
"NDN",1,"PPARGC1A",100
"NFATC2",1,"MEF2A",100
"NFKB1",1,"RELA",100
"NFKB2",1,"RELB",100
"NFYA",1,"SP1",100
"NFYA_NFYB_NFYC",1,"PLK1",60
"NKRF",-1,"NFKB1",100
"NKRF",-1,"NFKB2",100
"NKRF",-1,"REL",100
"NKRF",-1,"RELA",100
"NR0B2",1,"HNF4A",100
"NR0B2",1,"NR1H3",100
"NR0B2",1,"NR1I2",100
"NR0B2",1,"NR1I3",100
"NR0B2",1,"NR5A2",100
"NR0B2",1,"PPARA",100
"NR0B2",1,"RARA",100
"NR0B2",1,"RARB",100
"NR0B2",1,"RXRA",100
"NR1H3",1,"PPARA",100
"NR1I2",1,"RXRA",100
"NR1I3",1,"RXRA",100
"NR2C2",1,"HNF4A",100
"NR2F1",1,"RXRA",100
"NR2F2",1,"NR2F1",100
"NR2F2",1,"PROX1",100
"NR2F2",1,"RXRA",100
"PARP1",-1,"KDM5B",20
"PATZ1",-1,"RNF4",100
"PAX3",1,"LEF1",100
"PCSK7",1,"ATF6",100
"PDHX",-1,"CDX2",100
"PHLPP2",-1,"AKT1",90
"PHLPP2",-1,"PRKCA",46
"PITX3",1,"MTA1",100
"PLK1",-1,"AHR",100
"PLK1",-1,"HSF1",100
"PLK1",-1,"REST",100
"PLK1",-1,"SMAD4",100
"PLK1",-1,"TP73",100
"POU2AF1",1,"POU2F1",100
"POU5F1",1,"NANOG",100
"PPARGC1A",1,"GABPA",100
"PPM1B",-1,"CDK2",1
"PPM1B",-1,"CDK9",100
"PPM1F",-1,"LATS1",100
"PRKCA",-1,"GSK3A",52
"PRKCA",1,"ATF2",52
"PRKCA",1,"FOS",52
"PRKCA",1,"JAK2",30
"PRKCA",1,"MAPK3",52
"PRKCA",1,"NFE2L2",52
"PRKCA",1,"NKX3_1",52
"PRKCA",1,"NR1H4",52
"PRKCA",1,"STAT3",52
"PRKCA",1,"TP73",52
"PRKCA",1,"TWIST1",52
"PRKCH",-1,"GSK3B",12
"PRKCH",1,"MAPK1",12
"PTPRB",-1,"MAPK1",11
"PTPRB",-1,"SRC",1
"PTPRB",1,"MAPK3",11
"PTPRE",-1,"MAPK3",14
"RARA",1,"CTNNB1",100
"RARA",1,"RARG",100
"RARA",1,"RXRA",100
"RARB",1,"RARG",100
"RARB",1,"RXRA",100
"RB1",-1,"E2F1",100
"RB1",-1,"E2F2",100
"RB1",-1,"E2F3",100
"RB1",-1,"YY1",100
"RBCK1_RNF31",-1,"PRKCA",4
"RBPJ",1,"NCOR2",100
"RELA",1,"EGR1",100
"RELA",1,"SP1",100
"RIOX1",-1,"SP7",100
"RIT2",1,"POU4F1",100
"RITA1",-1,"RBPJ",100
"RLIM",-1,"LDB1",100
"RLIM",-1,"MYC",100
"RNF4",-1,"SUMO2",1
"RNF4",1,"NFYA",100
"RNF4",1,"NFYB",100
"RORB",1,"BMAL1",100
"RPS27A_UBA6",1,"UBE2I",39
"RPS27A_UBE2C",1,"DTX1",4
"RPS27A_UBE2C",1,"HUWE1",4
"RPS27A_UBE2C",1,"RLIM",4
"RPS27A_UBE2C",1,"SMURF1",4
"RPS27A_UBE2C",1,"TRIM25",4
"RPS27A_UBE2C",1,"WWP2",4
"RPS27A_UBE2D1",1,"DTX1",1
"RPS27A_UBE2D1",1,"HUWE1",1
"RPS27A_UBE2D1",1,"RLIM",1
"RPS27A_UBE2D1",1,"SMURF1",1
"RPS27A_UBE2D1",1,"TRIM25",1
"RPS27A_UBE2D1",1,"WWP2",1
"RPS27A_UBE2D2",1,"DTX1",3
"RPS27A_UBE2D2",1,"HUWE1",3
"RPS27A_UBE2D2",1,"RLIM",3
"RPS27A_UBE2D2",1,"SMURF1",3
"RPS27A_UBE2D2",1,"TRIM25",3
"RPS27A_UBE2D2",1,"WWP2",3
"RPS27A_UBE2D3",1,"DTX1",4
"RPS27A_UBE2D3",1,"HUWE1",4
"RPS27A_UBE2D3",1,"RLIM",4
"RPS27A_UBE2D3",1,"SMURF1",4
"RPS27A_UBE2D3",1,"TRIM25",4
"RPS27A_UBE2D3",1,"WWP2",4
"RPS27A_UBE2E1",1,"DTX1",1
"RPS27A_UBE2E1",1,"HUWE1",1
"RPS27A_UBE2E1",1,"RLIM",1
"RPS27A_UBE2E1",1,"SMURF1",1
"RPS27A_UBE2E1",1,"TRIM25",1
"RPS27A_UBE2E1",1,"WWP2",1
"RPS27A_UBE2E2",1,"BRCA1",4
"RPS27A_UBE2E2",1,"RNF4",4
"RPS27A_UBE2G2",1,"DTX1",1
"RPS27A_UBE2G2",1,"HUWE1",1
"RPS27A_UBE2G2",1,"RLIM",1
"RPS27A_UBE2G2",1,"SMURF1",1
"RPS27A_UBE2G2",1,"TRIM25",1
"RPS27A_UBE2G2",1,"WWP2",1
"RPS27A_UBE2I",1,"BRCA1",4
"RPS27A_UBE2I",1,"RNF4",4
"RPS27A_UBE2J1",1,"DTX1",2
"RPS27A_UBE2J1",1,"HUWE1",2
"RPS27A_UBE2J1",1,"RLIM",2
"RPS27A_UBE2J1",1,"SMURF1",2
"RPS27A_UBE2J1",1,"TRIM25",2
"RPS27A_UBE2J1",1,"WWP2",2
"RPS27A_UBE2J2",1,"DTX1",7
"RPS27A_UBE2J2",1,"HUWE1",7
"RPS27A_UBE2J2",1,"RLIM",7
"RPS27A_UBE2J2",1,"SMURF1",7
"RPS27A_UBE2J2",1,"TRIM25",7
"RPS27A_UBE2J2",1,"WWP2",7
"RPS27A_UBE2K",1,"DTX1",1
"RPS27A_UBE2K",1,"HUWE1",1
"RPS27A_UBE2K",1,"RLIM",1
"RPS27A_UBE2K",1,"SMURF1",1
"RPS27A_UBE2K",1,"TRIM25",1
"RPS27A_UBE2K",1,"WWP2",1
"RPS27A_UBE2L5",1,"DTX1",3
"RPS27A_UBE2L5",1,"HUWE1",3
"RPS27A_UBE2L5",1,"RLIM",3
"RPS27A_UBE2L5",1,"SMURF1",3
"RPS27A_UBE2L5",1,"TRIM25",3
"RPS27A_UBE2L5",1,"WWP2",3
"RPS27A_UBE2M",1,"DTX1",5
"RPS27A_UBE2M",1,"HUWE1",5
"RPS27A_UBE2M",1,"RLIM",5
"RPS27A_UBE2M",1,"SMURF1",5
"RPS27A_UBE2M",1,"TRIM25",5
"RPS27A_UBE2M",1,"WWP2",5
"RPS27A_UBE2Q1",1,"DTX1",3
"RPS27A_UBE2Q1",1,"HUWE1",3
"RPS27A_UBE2Q1",1,"RLIM",3
"RPS27A_UBE2Q1",1,"SMURF1",3
"RPS27A_UBE2Q1",1,"TRIM25",3
"RPS27A_UBE2Q1",1,"WWP2",3
"RPS27A_UBE2S",1,"DTX1",1
"RPS27A_UBE2S",1,"HUWE1",1
"RPS27A_UBE2S",1,"RLIM",1
"RPS27A_UBE2S",1,"SMURF1",1
"RPS27A_UBE2S",1,"TRIM25",1
"RPS27A_UBE2S",1,"WWP2",1
