"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ANGPTL1","",100,0,0,0
"ANK1","",100,0,0,0
"ANK1_CD47_EPB42_GYPA_GYPB_ICAM4_RHAG_RHCE_SLC2A1_SLC4A1","",100,0,0,0
"ANK2","",100,0,0,0
"ANK3","",100,0,0,0
"ANKRD11","",100,0,0,0
"ANKRD26","",100,0,0,0
"ANKRD28","",100,0,0,0
"ANKRD6","",100,0,0,0
"ANKS1B","",100,0,0,0
"ANO9","",100,0,0,0
"ANP32A","",100,0,0,0
"ANXA1","",100,0,0,0
"ANXA13","",100,0,0,0
"AP1B1","",100,0,0,0
"AP1B1_AP1G1_AP1M1_AP1S1","",100,0,0,0
"AP1B1_AP1G1_AP1M1_AP1S1_CHEBI_17526_CLTA_CLTB_CLTC_CLTCL1","",100,0,0,0
"AP1G2","",100,0,0,0
"AP2A2_AP2B1_AP2M1_AP2S1","",100,0,0,0
"AP2M1","",100,0,0,0
"AP3B1","",100,0,0,0
"AP3B1_AP3B2_AP3D1_AP3M1_AP3M2_AP3S1_AP3S2_CHEBI_18348_CLTA_CLTB_CLTC_CLTCL1","",100,0,0,0
"APAF1","",100,0,0,0
"APAF1_CASP9_CYCS","",100,0,0,0
"APBA1","",100,0,0,0
"APBA2","",100,0,0,0
"APBA3","",100,0,0,0
"APBB1","",100,0,0,0
"APC","",100,0,0,0
"APC2","",100,0,0,0
"APC_AXIN1_AXIN2_CSNK1A1_CTNNB1_GSK3A_GSK3B","",100,0,0,0
"APC_AXIN1_GSK3B","",100,0,0,0
"APC_CDC20","",100,0,0,0
"APC_PUF60_SIAH1_SKP1_TBL1X","",100,0,0,0
"APELA","",100,0,0,0
"APEX1","M",0,100,0,100
"APH1A","",100,0,0,0
"APH1A_NCSTN_PSEN1_PSENEN","",100,0,0,0
"APH1B","",100,0,0,0
"APIP","",100,0,0,0
"APLF","",100,0,0,0
"APLN","",100,0,0,0
"APLNR","",100,0,0,0
"APOA1","",100,0,0,0
"APOA5","",100,0,0,0
"APOB","",100,0,0,0
"APOC3","",100,0,0,0
"APOE","",100,0,0,0
"APP","",100,0,0,0
"APPL1","",100,0,0,0
"AQP5","",100,0,0,0
"AR","M",0,100,0,100
"ARAF","",100,0,0,0
"ARAP1","",100,0,0,0
"ARAP2","",100,0,0,0
"ARAP3","",100,0,0,0
"AREG","",100,0,0,0
"AREL1","",100,0,0,0
"ARF1","",100,0,0,0
"ARF6","",100,0,0,0
"ARFGAP1","",100,0,0,0
"ARFGEF1","",100,0,0,0
"ARFGEF2","",100,0,0,0
"ARHGAP1","",100,0,0,0
"ARHGAP10","",100,0,0,0
"ARHGAP11A","",100,0,0,0
"ARHGAP11B","",100,0,0,0
"ARHGAP12","",100,0,0,0
"ARHGAP15","",100,0,0,0
"ARHGAP17","",100,0,0,0
"ARHGAP19","",100,0,0,0
"ARHGAP20","",100,0,0,0
"ARHGAP21","",100,0,0,0
"ARHGAP22","",100,0,0,0
"ARHGAP23","",100,0,0,0
"ARHGAP24","",100,0,0,0
"ARHGAP26","",100,0,0,0
"ARHGAP27","",100,0,0,0
"ARHGAP28","",100,0,0,0
"ARHGAP29","",100,0,0,0
"ARHGAP30","",100,0,0,0
"ARHGAP31","",100,0,0,0
"ARHGAP32","",100,0,0,0
"ARHGAP33","",100,0,0,0
"ARHGAP35","",100,0,0,0
"ARHGAP39","",100,0,0,0
"ARHGAP4","",100,0,0,0
"ARHGAP40","",100,0,0,0
"ARHGAP44","",100,0,0,0
"ARHGAP5","",100,0,0,0
"ARHGAP6","",100,0,0,0
"ARHGAP8","",100,0,0,0
"ARHGAP9","",100,0,0,0
"ARHGDIA","",100,0,0,0
"ARHGEF1","",100,0,0,0
