"Node1","Sign","Node2","Weight"
"AMOT",NA,"-1",0
"AMOTL2",NA," 1",0
"ANAPC1",NA," 1",0
"ANAPC1",NA,"-1",0
"ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27",NA," 1",0
"ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27",NA,"-1",0
"ANAPC2",NA,"-1",0
"ANGPT1",NA," 1",0
"ANGPT2",NA," 1",0
"ANGPT4",NA," 1",0
"ANGPTL1",NA," 1",0
"ANK1",NA,"-1",0
"ANK1_CD47_EPB42_GYPA_GYPB_ICAM4_RHAG_RHCE_SLC2A1_SLC4A1",NA," 1",0
"ANK2",NA," 1",0
"ANK3",NA," 1",0
"ANKRD11",NA," 1",0
"ANKRD26",NA," 1",0
"ANKRD28",NA," 1",0
"ANKRD6",NA," 1",0
"ANKS1B",NA," 1",0
"ANO9",NA," 1",0
"ANP32A",NA," 1",0
"ANXA1",NA," 1",0
"ANXA13",NA," 1",0
"AP1B1",NA," 1",0
"AP1B1",NA,"-1",0
"AP1B1_AP1G1_AP1M1_AP1S1",NA," 1",0
"AP1B1_AP1G1_AP1M1_AP1S1_CHEBI_17526_CLTA_CLTB_CLTC_CLTCL1",NA," 1",0
"AP1G2",NA," 1",0
"AP2A2_AP2B1_AP2M1_AP2S1",NA," 1",0
"AP2M1",NA,"-1",0
"AP3B1",NA," 1",0
"AP3B1_AP3B2_AP3D1_AP3M1_AP3M2_AP3S1_AP3S2_CHEBI_18348_CLTA_CLTB_CLTC_CLTCL1",NA," 1",0
"APAF1",NA," 1",0
"APAF1_CASP9_CYCS",NA," 1",0
"APBA1",NA," 1",0
"APBA2",NA," 1",0
"APBA3",NA," 1",0
"APBB1",NA," 1",0
"APC",NA,"-1",0
"APC2",NA," 1",0
"APC_AXIN1_AXIN2_CSNK1A1_CTNNB1_GSK3A_GSK3B",NA," 1",0
"APC_AXIN1_GSK3B",NA," 1",0
"APC_AXIN1_GSK3B",NA,"-1",0
"APC_CDC20",NA,"-1",0
"APC_PUF60_SIAH1_SKP1_TBL1X",NA,"-1",0
"APELA",NA," 1",0
"APEX1",NA," 1",0
"APEX1",NA,"-1",0
"APH1A",NA," 1",0
"APH1A_NCSTN_PSEN1_PSENEN",NA," 1",0
"APH1A_NCSTN_PSEN1_PSENEN",NA,"-1",0
"APH1B",NA," 1",0
"APIP",NA,"-1",0
"APLF",NA," 1",0
"APLN",NA," 1",0
"APLNR",NA," 1",0
"APOA1",NA," 1",0
"APOA5",NA," 1",0
"APOB",NA," 1",0
"APOC3",NA,"-1",0
"APOE",NA," 1",0
"APP",NA," 1",0
"APPL1",NA," 1",0
"AQP5",NA," 1",0
"AR",NA," 1",0
"AR",NA,"-1",0
"ARAF",NA," 1",0
"ARAF",NA,"-1",0
"ARAP1",NA,"-1",0
"ARAP2",NA,"-1",0
"ARAP3",NA,"-1",0
"AREG",NA," 1",0
"AREL1",NA,"-1",0
"ARF1",NA," 1",0
"ARF1",NA,"-1",0
"ARF6",NA," 1",0
"ARFGAP1",NA,"-1",0
"ARFGEF1",NA," 1",0
"ARFGEF2",NA," 1",0
"ARHGAP1",NA," 1",0
"ARHGAP1",NA,"-1",0
"ARHGAP10",NA,"-1",0
"ARHGAP11A",NA,"-1",0
"ARHGAP11B",NA,"-1",0
"ARHGAP12",NA,"-1",0
"ARHGAP15",NA,"-1",0
"ARHGAP17",NA," 1",0
"ARHGAP19",NA,"-1",0
"ARHGAP20",NA,"-1",0
"ARHGAP21",NA,"-1",0
"ARHGAP22",NA,"-1",0
"ARHGAP23",NA,"-1",0
"ARHGAP24",NA,"-1",0
"ARHGAP26",NA,"-1",0
"ARHGAP27",NA,"-1",0
"ARHGAP28",NA,"-1",0
"ARHGAP29",NA,"-1",0
"ARHGAP30",NA,"-1",0
"ARHGAP31",NA,"-1",0
"ARHGAP32",NA," 1",0
"ARHGAP32",NA,"-1",0
"ARHGAP33",NA,"-1",0
"ARHGAP35",NA,"-1",0
"ARHGAP39",NA,"-1",0
"ARHGAP4",NA,"-1",0
"ARHGAP40",NA,"-1",0
"ARHGAP44",NA,"-1",0
"ARHGAP5",NA,"-1",0
"ARHGAP6",NA,"-1",0
"ARHGAP8",NA," 1",0
"ARHGAP8",NA,"-1",0
"ARHGAP9",NA,"-1",0
"ARHGDIA",NA,"-1",0
"ARHGEF1",NA," 1",0
"ARHGEF10",NA," 1",0
"ARHGEF11",NA," 1",0
"ARHGEF12",NA," 1",0
"ARHGEF15",NA," 1",0
"ARHGEF17",NA," 1",0
"ARHGEF18",NA," 1",0
"ARHGEF19",NA," 1",0
"ARHGEF2",NA," 1",0
