"ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","hgnc_symbol"
"ENSG00000000003",1670.46921006754,0.318658008200508,0.20714849976856,1.53830710121741,0.12397354426801,0.316812998662051,7105,"TSPAN6"
"ENSG00000000005",22.0226977032318,1.66687321917988,1.2043299762044,1.38406686881053,0.166337980508897,0.382447797245358,64102,"TNMD"
"ENSG00000000419",750.300755604858,-0.082539859033514,0.10868199767353,-0.759462107804237,0.447576172856679,0.683930115601111,8813,"DPM1"
"ENSG00000000457",493.707896429168,-0.285153467875098,0.101492657895985,-2.80959700717798,0.00496035678617494,0.0333948125224461,57147,"SCYL3"
"ENSG00000000460",725.158564596896,0.230482932477387,0.16069920622999,1.43425059702861,0.15150076287168,0.360380214222126,55732,"C1orf112"
"ENSG00000000971",21.7611743345418,-1.63579695825788,0.609925268911921,-2.68196292502534,0.00731915707988319,0.0450902506016919,3075,"CFH"
"ENSG00000001036",752.151808480091,0.218927457151127,0.265179947664739,0.825580738962631,0.409041964947139,0.648015647211277,2519,"FUCA2"
"ENSG00000001084",639.888238955174,-0.0323802667876076,0.152098034996474,-0.21289076343661,0.831412166958115,0.92721346397984,2729,"GCLC"
"ENSG00000001167",773.576785329049,0.003703868418141,0.114031430487021,0.0324811186031958,0.974088373256311,0.989498364727316,4800,"NFYA"
"ENSG00000001460",58.5999231709279,1.38903745950936,0.542949422674326,2.55831832856104,0.0105179761406346,0.0594229305935797,90529,"STPG1"
"ENSG00000001461",131.977191934875,-0.054928368525101,0.312840787141695,-0.175579306736056,0.86062446061105,0.941464423584706,57185,"NIPAL3"
"ENSG00000001497",752.065793863845,0.0593787394301192,0.0930870000028431,0.637884338611252,0.523548973332318,0.743419954516641,81887,"LAS1L"
"ENSG00000001561",163.676892490434,0.28722146576374,0.282055093599997,1.01831689014299,0.30852738420865,0.554868930781067,22875,"ENPP4"
"ENSG00000001617",79.4004717380811,0.800383233599993,0.684627870453004,1.16907778392135,0.242372293810581,0.480091400992553,6405,"SEMA3F"
"ENSG00000001626",10.1105303475539,3.7949469901337,0.718951405816216,5.27844713764117,1.30283238691149e-07,4.79072656598906e-06,1080,"CFTR"
"ENSG00000001629",2146.47144711349,-0.207021176659215,0.131698065543108,-1.5719378701994,0.115964960767264,0.303916680022756,54467,"ANKIB1"
"ENSG00000001630",62.2901984474351,0.816722897673908,0.283284693325281,2.88304633789764,0.00393849499696221,0.0281752853131723,1595,"CYP51A1"
"ENSG00000001631",1211.6252738595,-0.0465088985995079,0.100463717332363,-0.462942242577419,0.643405767455944,0.824010721406666,889,"KRIT1"
"ENSG00000002016",368.878960858592,0.0120461803333302,0.108714925097171,0.110805212095425,0.911770812152343,0.962407200875858,5893,"RAD52"
"ENSG00000002330",139.466815635763,0.50651543631876,0.354063997582778,1.43057594044235,0.152551786985467,0.362069869412521,572,"BAD"
"ENSG00000002549",840.636462331073,0.17820746770995,0.152318222594419,1.16996814087351,0.242013790056407,0.47973895671133,51056,"LAP3"
