"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"GTSE1",6.14437114006863,6.02312871455732,7.08857834537339,7.66976224547184,6.64378255741951,8.0313273339539
"SEMA3C",10.1559916311766,10.2317673642586,9.18201965184832,11.4803518289781,10.7082408249147,12.5497476229265
"TTC38",7.6314284560604,7.86428286000716,7.99324667467734,8.23825698874332,7.65129641608071,8.75544240551484
"ACAT1",9.70958026907028,9.95753963990719,9.61856736835092,9.45455781226793,9.45736964043479,9.48088029965462
"GRAMD4",9.26721227218681,9.01225433978407,9.34063782382317,9.65561515631697,9.80586759890534,9.1440920565254
"CELSR1",8.54337936186997,8.32813337198237,9.63878163274787,10.7976511436133,9.44602816581555,11.750259349093
"WNT8B",5.14109345202186,4.69525161239808,4.7660846074949,5.6525587184268,5.29596108369109,5.37273133131448
"ZNF638",12.8382188369352,13.0204997733052,13.1446260176822,12.7964415155697,12.8231999610708,12.8176866974949
"SLC25A40",8.86875162420893,8.95883543783139,8.67831104441804,8.53838594974355,8.74201466907865,8.18796695439066
"TIMM21",8.70274593815867,8.69147535733056,8.49044603867034,8.80196125077407,8.69864593633242,8.8269892391492
"ADD2",12.4365045198269,12.4612303572904,12.4748394320709,11.8132645781814,12.4985574703189,10.6376786478861
"RASAL2",12.428374881642,12.5736258500376,12.5337854476472,11.8038720780624,12.2424964183296,10.9472733894846
"VPS9D1",8.64634506583055,8.10138244940046,8.30413957857438,8.66606905430101,9.07685134844725,7.98322153745751
"ZNF37A",10.3325561762043,10.6143862746922,10.4903352828229,9.85893879247369,9.90938471586958,9.65567690395344
"MARK3",11.3874618441067,11.4080030314416,11.2267168534368,11.4261616248634,11.429859852633,11.3634812052899
"SLC25A3",12.0219896065659,11.9449556473842,11.9049418454517,11.9937021197325,11.8916141667585,12.0906532365186
"FNDC3B",10.3252418426685,10.4960529401939,10.8885909900375,11.1584097698497,10.3221875208776,12.4026837582293
"FOSL2",7.15412798548242,6.32990443424444,7.16642702427941,7.04984994513719,6.19402372481779,8.43229287086765
"CACNG5",6.2372372059446,6.32990443424444,6.34796986470843,5.51331587387945,6.513522034208,4.76371589021208
"CACNG4",10.2499824286085,10.1330730200439,10.3665661472964,9.9304686983355,10.3601227409561,8.96901851449384
"FRYL",11.7020233641003,11.782428968077,12.2067577883802,12.0014368476466,11.7707796663951,12.1725022287675
"TMEM131",10.2516982529934,10.5005655878895,10.9240072968923,10.146117434257,10.2247304628472,10.3315427948304
"FSCN1",10.4522847982419,9.73153158762709,10.2278369206519,10.5509347431221,10.8793601721754,9.30711713280359
"ACTB",15.0400061283343,14.7592347265518,15.0677643728717,15.1215906875384,15.0962151028786,14.9045452160109
"MOCOS",4.99520527768772,4.90491546544878,5.19204933581343,5.3280834021818,5.32290848716218,5.37273133131448
"PLD1",6.57584372992704,6.73092761276427,6.68385737112564,8.25417738004072,6.75482273122502,9.13785816448196
"ATP12A",5.3344412562722,5.24729833481842,5.2426758087291,4.95373220111794,4.99924798284876,4.68467332000649
"WDR62",6.52916670743809,6.54567163620786,7.50131371293644,7.54134455499361,6.79235481056696,7.24286392443478
"DLG1",10.4075815431549,10.4320218937959,10.5278346614041,10.5763788437147,10.3988502397898,11.0871450423701
"RAB7A",9.92816589176384,10.057197096982,9.96918927943252,9.90271246980339,10.1322793988051,9.86343100620578
"BCAP29",8.98280663449547,9.27587715187871,8.85598573220306,9.33178022014982,8.88341544025648,9.75263243152193
"SEC31B",8.16270466126642,7.96164951102611,7.80201515746545,8.05552620041401,8.22156759349832,8.04477884312409
"SART3",10.5050247972938,10.524819433058,10.3675754489251,10.7871826787972,10.6644138810679,10.6709427770835
"ARHGAP15",5.0958257135656,5.62971160557788,5.0153475618871,4.91404266993799,4.91093888395682,4.58127373257168
"PAX2",6.40461685682177,6.17206882112393,5.96317797384801,5.15028716110163,5.63503194179442,4.33057497578978
"EXOSC7",9.09423242154179,9.00318459435402,8.920778243449,8.86093478417512,8.93953901173915,8.99167177571807
"KIFAP3",12.5970910094412,12.6310440200307,12.2368883806293,12.0255501582064,12.4319061707649,11.1979076829881
"MKRN2",9.50890488358432,9.58253895980188,9.67348824067804,9.84029998197171,9.74979787325952,10.0631681547798
"MCM6",8.22017182526003,8.29573358513945,9.17280184623681,9.80305352600629,8.81091715822001,9.96367824620249
"REXO2",7.8436809557428,7.81923443275588,7.90644722971276,7.65949546353462,7.50877860534628,8.0313273339539
"RBM7",8.30558112606882,8.46681400830921,8.47925120479722,8.34402699597376,8.36863232350315,8.70145951293704
"RBMS2",7.41299103728355,7.46670362353506,7.90644722971276,7.69678163213062,7.48206152541301,8.1635382126702
"BAZ2A",9.65873979686973,9.72823599367538,9.99685327683028,9.91914610858816,9.91597375253919,9.74034991274878
"PTPN23",8.21311353050452,8.24725699666395,9.04221169520246,7.99716530369918,8.30456843055663,7.91888360076693
"MLH1",10.1886048209568,10.2035738126658,10.1940966399133,9.86263780445501,9.73775948089661,10.0349574002241
