"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"TSPAN6",9.69955466223707,9.70830257160587,9.998157460385,10.7174246144321,10.0144304954956,11.721402821217
"TNMD",6.16034128042322,6.186010907159,6.16047993900056,5.84564325546448,5.14598214718274,7.09336464344323
"DPM1",8.78339954100118,8.90919490513826,8.89296569000798,9.02327280947709,8.7750649344155,9.04595924739587
"SCYL3",9.34326690275064,9.49215142528393,9.13532862400988,9.06757785674507,9.14299568041629,9.07561901939888
"C1orf112",7.58817079353714,7.94651162791852,8.15243586610618,8.36301724296441,7.92591053402303,8.68657213707634
"CFH",5.3344412562722,5.62971160557788,5.2426758087291,6.11225279239186,5.39908280147121,7.17633604835938
"FUCA2",8.31878558396344,8.20026757039308,8.67177440372227,9.01796958571533,8.35166441534884,10.0639895833384
"GCLC",8.60657871996245,8.67784833156328,8.78207944247593,8.83552536934532,8.67159164285877,9.36562143148929
"NFYA",9.30243196170721,9.214359116568,9.81343315344366,9.77506204680653,9.6584331827196,9.7536512651057
"STPG1",7.76836569039717,7.59423896180188,6.38235023120535,7.32802183081119,7.47304188353518,8.55220489792328
"NIPAL3",8.80697211819201,8.87578558812551,7.36043382064508,8.41650445406491,9.02745391118211,8.74316368628158
"LAS1L",8.89097541870595,8.8896365274247,8.55228367163176,9.08162456332603,8.88845660449804,8.99167177571807
"ENPP4",9.13946528525982,9.08110158900792,8.48299253765297,8.39206598500318,8.97787672927678,7.81263346922393
"SEMA3F",8.84617881199788,8.3541074292864,8.0347402825363,8.12155403783591,8.9476107633801,5.94713050764567
"CFTR",4.80259831140558,4.95891832408665,4.7660846074949,4.33057497578978,4.66714835127326,4.33057497578978
"ANKIB1",11.6881548726969,11.7995307639062,11.6326551978947,11.5663011534523,11.7421093869177,11.6256479620404
"CYP51A1",7.17640770575393,6.53516475243763,6.91830170473145,6.89838247972714,7.14293189495132,6.41697671329194
"KRIT1",10.0246621028444,10.123908530629,10.2256119665688,9.95977415061213,9.93475116537527,10.1904865942671
"RAD52",8.4743216125901,8.47734963347558,8.69452362345421,8.90901242107945,8.95082681945545,8.93345524101333
"BAD",8.05225889084432,7.60879611156309,8.27851112581537,8.45436588749645,8.54311018388493,8.1635382126702
"LAP3",8.77863825715064,8.80445499341524,8.75141856655928,9.29390536859931,8.92979271367827,9.85870437921206
"CD99",9.04950768501134,8.89749183849585,9.40304613797014,10.0370939772658,9.41727749064228,10.9029819550142
"HS3ST1",7.22704432932557,6.72179300651678,6.25772181162451,6.99568221814795,7.30502131614998,5.86456156907527
"HECW1",11.5545163248043,11.5832236110589,11.035514715739,10.6324712899771,11.3657506369737,8.95844157919663
"MAD1L1",8.96825130732817,8.63617355566335,9.2205497782648,9.09930610414443,9.31124899917331,9.06908060194216
"LASP1",11.162928690377,11.025169211933,10.75151468674,11.2022595136774,11.2853669795058,11.5625492254422
"SNX11",8.36087775999536,8.28376756721044,8.31678371072775,8.61071852248022,8.57267226240335,8.502036828472
"M6PR",9.57346879762078,9.61383368388071,9.55261775317147,9.797653148053,9.53221042460333,10.3356296819452
"KLHL13",11.2174933962004,11.269084732264,10.8202070684523,10.6415397948261,11.074508247347,10.5006269007453
"CYP26B1",9.25013325340414,9.17614540245084,10.1861089872186,7.88451135220615,7.75875174609447,6.06819675099262
"ICA1",8.94082279178687,9.00863330186558,8.29989991996498,8.54762949855517,8.91340061362166,6.71726694632154
"DBNDD1",9.62205308417768,9.20014760361899,8.88733802173831,8.61424117511111,9.47421614400509,7.14500941893176
"ALS2",10.9737327221111,11.1111394528523,11.1826735997048,11.090975736245,11.1226388538174,11.2913322608189
