"ID","statistic","log2FoldChange","padj"
"TSPAN6",2.64670096082334,1.24944502400835,0.0766342480044456
"TNMD",0.300343053177413,0.253454036532138,0.894041458162367
"DPM1",0.665272726733834,0.127329552650432,0.741916139327033
"SCYL3",-1.24978870671896,-0.224627466431454,0.480753448157136
"C1orf112",1.58317400579843,0.543795254018762,0.347107581145543
"CFH",2.63352525043685,2.12827355200246,0.0781542949881814
"FUCA2",2.03387266307389,1.02388010682905,0.202775920808377
"GCLC",1.24415839823636,0.355625374533774,0.483372529350789
"NFYA",1.16822579284241,0.302154830189888,0.515149472696167
"STPG1",1.12491958561167,0.679348274425517,0.533498409661035
"NIPAL3",0.634868694275579,0.310540275203257,0.756229098726877
"LAS1L",1.22160661355643,0.24942429209136,0.493224278129137
"ENPP4",-1.18622376348874,-0.481701939207522,0.50841722715037
"SEMA3F",-0.444346880814835,-0.352296717927105,0.837555940620476
"ANKIB1",-0.251616488943272,-0.0357032810569237,0.911481217623266
"CYP51A1",-0.112140587094044,-0.0456205831525529,0.96285259218458
"KRIT1",-0.375899992904375,-0.0695847328661486,0.864157056597005
"RAD52",2.53160100386141,0.444404836039796,0.0944441486907555
"BAD",1.58003487493062,0.473123484360672,0.348228758159979
"LAP3",2.22085304306425,0.713998282612263,0.155023187706741
"CD99",2.6959527578076,1.20490114794214,0.0696040690408807
"HS3ST1",0.16426875708508,0.103283123920228,0.945498948550707
"HECW1",-1.36589306813784,-0.786787535731049,0.431540666226654
"MAD1L1",0.966566042085088,0.243705712013825,0.603971534182561
"LASP1",1.83209544492504,0.403925167318621,0.261049587236569
"SNX11",1.88226786166472,0.299406983546301,0.24614791091213
"M6PR",1.35826073052462,0.395303015067673,0.434382636752876
"KLHL13",-1.31960877959773,-0.337420247702293,0.451972524016518
"CYP26B1",-3.74229368971202,-2.42970750017554,0.00553363902548366
"ICA1",-0.777033719393472,-0.485529764862893,0.690432125178235
"DBNDD1",-0.974138175585247,-0.599158138788855,0.600819647976232
"ALS2",0.638547096578275,0.108355138908126,0.754932128424074
"CASP10",-2.68869922355743,-1.17422256139859,0.0706578787015085
"CFLAR",0.592233434645112,0.191069858695957,0.774493718929322
"TFPI",3.1244139048619,1.51502339045278,0.0279438642947853
"NDUFAF7",-0.711276483208697,-0.149389668153445,0.721118499889936
"RBM5",1.69697029094651,0.256807369276442,0.305983145882725
"MTMR7",-1.92585420881209,-1.16170802877668,0.233906930890628
"SLC7A2",-3.24861631393349,-2.24616216877759,0.0203854187119698
"ARF5",2.13029533331382,0.451146960333232,0.176621306298939
"SARM1",-1.58439639004327,-0.425680471234144,0.346643442700281
"POLDIP2",1.16308038945724,0.223372853116858,0.517023401976296
"PLXND1",0.48632482349551,0.413522628714602,0.82044863987485
"AK2",0.973417995979579,0.234329156420912,0.601212380197977
"CD38",3.42923060330099,4.28045291132376,0.0129758407147711
"FKBP4",0.298089269612946,0.052855246908915,0.894509891853933
"KDM1A",0.879164815993277,0.160055472439052,0.644295407175774
"RBM6",1.9579612823152,0.352570002281702,0.223955710893368
"CAMKK1",-0.152508287906033,-0.0776928279379285,0.94974368566355
"RECQL",0.894067898447477,0.255119961421111,0.637170943561238
"CCDC132",-2.11941600369264,-0.342163763522655,0.179531499462276
"ARHGAP33",-1.14334163601225,-0.629208948832463,0.524338352299716
"NDUFAB1",0.819689137380082,0.12561671808919,0.671733071355288
"PDK4",3.21287750978116,1.49691176153386,0.0221960555327461
"ZMYND10",5.10514957807212,3.43004636430102,3.94164707917342e-05
"SLC25A13",1.0629784325749,0.354548538961337,0.559985699818015
"ST7",-1.5065438943043,-0.499362903810769,0.376159325106256
"CDC27",-0.799127842471188,-0.143935654207699,0.681036172456576
"CALCR",-3.60499834766448,-2.14316926094813,0.00818535720945375
