"","statistic"
"MLXIPL",-0.594086938893511
"BAZ1B",1.90061584466112
"RANBP9",-0.785054993689147
"SPRTN",0.914059726387132
"METTL13",0.511630116541391
"DYRK4",0.918016974769372
"ZNF207",0.368900215537734
"UQCRC1",1.14931871471792
"STARD3NL",0.968144691736647
"CD9",2.26495977566065
"NCAPD2",2.71866546892294
"IFFO1",1.09120862461765
"GIPR",-0.974922127432204
"PHF7",0.264996374572868
"SEMA3G",2.14112946152819
"NISCH",0.207679383358128
"FUZ",2.59204647487094
"SLC6A13",0.205601726351487
"IDS",-2.16986687860826
"PRSS3",-2.16617030138343
"ZNF200",-0.254687051130489
"CD4",0.871050658993771
"LRRC23",3.27903021327775
"BTK",-2.77885201748543
"HFE",4.17183576872448
"SCMH1",-0.900702437213838
"FYN",0.798616082056424
"HIVEP2",-1.64293108345389
"FMO1",4.29993560621505
"TCEB3",0.96916795173955
"LYPLA2",1.67292013781375
"CLCN6",-1.1851653593951
"MRC2",0.838222457667534
"SLC6A7",-0.9963874579256
"TSPAN9",3.51417146607078
"BTBD7",0.497029843828028
"APBA3",1.27895144416809
"MKS1",3.05461678919964
"ABHD5",-1.23733149895654
"KAL1",-1.82965747727801
"AKAP8L",3.18996231533007
"MBTD1",1.11873406403933
"UTP18",1.21090626936561
"RNF216",1.80955799386317
"TTC19",0.0460127222301744
"PTBP1",3.43906332766564
"DPF1",-0.482238308753828
"SYT7",-0.867080037484129
"LARS2",2.40879043190574
"PIK3C2A",0.388265040069278
"PLAUR",2.39912846307577
"ANLN",1.61966691220846
"WIZ",-0.338070707450792
"RABGAP1",-0.0864131943286672
"DCN",6.05403293080915
"QPCTL",0.0704284303069269
"PPP5C",1.56985754271598
"CEP68",-0.352651256673371
"MAP4K3",-2.26924154815944
"TMEM159",2.29513173431768
"GABRA3",-1.02957680679414
"BRCA1",2.31357332286914
"ERCC1",1.68008651605189
"SEMA3B",-0.0336792270109729
"MBTPS2",-2.30199473450804
"EXTL3",1.11097323677698
"ELOVL5",-0.310392821169277
"KDM5D",1.15381555103071
"CALCOCO1",3.09781286920067
"UBR7",0.385443715715706
"MAP4K5",-1.34784494942232
"EHD3",-1.06590097408861
"PSMC4",0.991470885974539
"MAN2B2",0.841824205882642
"SLC7A14",-1.97855342707613
"CLDN11",0.367994683611398
"SLC25A39",3.28377953879347
"MVP",0.494681981268915
"NUB1",1.59777034886753
"PGM3",0.226814110770674
"RWDD2A",0.718520527411606
"CLK1",-0.53299757484589
"POLR3B",-0.592811516788034
"ANGEL1",1.18526939972383
"RNF14",-1.59355665387552
"DNASE1L1",1.21140215554862
"DDX11",7.16823897480683
"HEBP1",1.50220454355212
"GPRC5A",2.78085590817602
"MAMLD1",2.46796238603096
"CD6",-0.96810580464835
"TACC3",2.74886058027197
"UFL1",0.387426162893264
"POLA2",2.43821067261978
"ZC3H3",-0.174059849399242
"CAPN1",0.829198965591596
"MDH1",-1.38301826632706
"SLC30A9",0.803585267401139
"MTMR11",3.9644972160524
"COX15",1.27298321024754
"CCDC88C",1.88442320824941
"YAF2",-0.669862501217257
"ZMYND11",-0.316696230281932
"WAS",-0.529837702847294
"BID",-2.47938809700001
"MATR3",-0.403959161335975
"XYLT2",3.17208024468258
"RGPD5",-0.203914154750293
"STMN4",-0.926741293996134
"NUDCD3",-0.464479241630824
"ISL1",0.482938069932581
"CHDH",0.857149680702791
"GLT8D1",2.2509190073911
"ATP2C1",-0.525993805779821
"SRCIN1",-0.75358437243786
"IGF1",-0.24599067938012
"SLC38A5",-1.31006598711517
"MAGIX",-0.707478706218581
"RALBP1",1.78983738022241
"RUFY3",-0.803700268402235
"CNTN1",-3.15121289214324
"SLC11A1",0.138453869327628
"WWTR1",3.44838618302318
"AGPS",-2.73581233160389
"ZNF806",-1.55101092585498
"CXorf56",1.24788294988525
"ATP1A2",2.41129760749676
"TTC27",0.922258354022291
"ZNF582",-0.796456016674617
"VSIG2",-1.47322585015612
"PHLDB1",1.78518099373405
"CYP24A1",-2.47984407438101
"PRDM11",-0.826901054152805
"SYT13",-0.770777719773071
"SNAI2",4.34156387262057
"HGF",3.32244543328393
"ZRANB1",-0.560099677720841
"NCDN",-0.728987178995684
"GPR124",1.88592589470475
"ZFP64",0.708847831027357
"MNAT1",-0.011148620379315
"SAMD4A",0.0883882397383867
"MRE11A",1.30779070109155
"PLEKHB1",-0.114327241707634
"SERPINB1",2.46560439248992
"SLC7A9",-1.25583889011938
"SPAST",-1.23982013691627
"NRXN3",-3.51148614675413
"OSBPL5",0.471904825309561
"AQR",0.206625311963579
"CPS1",2.54225050790919
"C8B",-0.483782961371299
"FHL1",1.64420949878118
"RTFDC1",1.63421412175525
"GABRA1",-1.85574442934328
"NLRP2",9.36168927038724
"SLC45A4",-0.695495330552927
"RNF10",0.494755142639359
"ZNF839",0.429284054932338
"ZDHHC6",1.76698978643062
"GRAMD1B",-3.06447007504634
"RNH1",0.992584863059069
"NDUFS1",-0.137013413461151
"RB1CC1",-0.738899267393509
"ERP44",-1.41635879862965
"ALAS1",0.289207335013137
"BIRC3",-0.191139978880053
"AKAP11",-3.71564690298821
"GLRX2",-0.531397086906254
"SNAPC1",1.862652165283
"DERA",1.32350273544564
"STRAP",0.80979972295288
"ABCC2",0.70881345264979
"DEF6",1.28910058748713
"PLEKHO1",0.0273981620101315
"GCLM",0.205097376433387
"UBR2",-1.15445331928251
"EHD2",1.82706525096897
"DEPDC1",2.59548857079084
"CCDC28A",1.21922736862385
"RRAGD",2.62075777446271
"HSF2",0.0198710652275134
"PHF20",-0.660080878362524
"HSD17B6",-0.460982689132381
"NR1H3",1.81571185957433
"TYMP",3.25162960386263
"NCAPH2",0.362344782297546
"TOMM34",2.81619555907125
"SEC63",-1.12033442002111
"KPNA6",0.608947446380395
"VIM",1.0497291384978
"RTEL1-TNFRSF6B",1.79639657806964
"FAS",3.40597262243696
"RNASET2",0.12402964398713
"CD44",2.52394906575201
"KCNG1",1.92367443875105
"AGPAT4",-1.56542683151034
"BTN3A1",-0.0624000652017574
"MIPEP",1.70081171162771
"PRKCH",1.20006479176585
"IFNGR1",1.23768123128905
"B4GALT7",1.70075554210516
"VRK2",1.62098511387053
"VEZT",-0.654829791786021
"POU2F2",-1.72078888838979
"BRD9",0.446662178148222
"SNX1",0.85122426104855
"TBPL1",-0.560359768366573
"ARNTL2",-0.667311188368495
"BCLAF1",0.170044361901776
"SLC39A9",0.509133461910073
"ANK1",-0.153580005661157
"IBSP",2.57542386769366
"TFB1M",-1.39151222728719
"RABEP1",-1.22531615435702
"HMGB3",0.744601959769138
"NUP160",-0.62391257956418
"BAK1",1.89166721558764
"MUSK",3.18453649869878
"IKZF2",1.34218538182333
"GRN",3.58181882803865
"FAM13B",-1.51422620953088
"ARHGAP31",2.43136898287356
"NR2E3",-1.08335392116951
"CENPQ",2.16268268476171
"SARS",-0.418364769418065
"RANBP3",2.36917189897408
"ARID4A",-0.66671258888768
"TSSC1",-0.737973967961665
"PNPLA6",-0.876134244985443
"IFT88",1.6721605616217
"ALG1",2.03653573687626
"ZCCHC8",1.70500958272388
"ABCF2",1.83377155265101
"CHPF2",1.25342191838454
"LRRC7",-1.37243395181295
"FUT8",-1.17843513441762
"UBA6",0.0311032495978963
"GAB2",-0.546877912801612
"ATP6V0A1",-2.22670052521002
"PIAS1",-0.693180342964172
"SLC4A7",-0.620918109390106
"APBA2",-0.0743097945351739
"UHRF1",2.23469750575322
"MAP2K3",1.17183718438291
"EFCAB1",4.63746138412907
"TMSB10",-0.47141825469178
"ASTE1",1.33085204051235
"RNF19A",1.91202041339226
"PEX3",-0.324104583538981
"GABARAPL2",0.0944290196035826
"SH3YL1",-1.75585708157082
"FAM136A",0.104102872710836
"VCL",2.36622116917754
"DEPDC1B",0.447686474450539
"DAPK2",-0.739659790091151
"NSMAF",-1.7514309851787
"ADSS",-0.427551665221601
"TIMP2",0.144252732624252
"RFC1",1.28492004725765
"TBC1D23",0.396552900750273
"CUL3",0.242589404165106
"MYOM2",0.485993469097469
"CYP46A1",-1.03195659159287
"ZZZ3",-0.663825110082698
"SLC18A1",-0.849363439813128
"USP2",1.57526921949612
"TUBG2",1.08279580870423
"RPL26L1",1.2437523397144
"FLT4",0.530136323139192
"NSUN2",1.0909358857029
"FBXO42",-1.18786240843401
"MFAP3",-0.340241365302103
"MRI1",4.52697690453263
"METTL1",2.53353833273206
"AGA",1.46680601612907
"PI4K2B",-1.61429482739338
"BOD1L1",-0.491730543668581
"MAT2B",2.35441264088972
"TLL1",-1.7384875926356
"EDC4",0.317278357631606
"TRIO",-1.0209970379158
"VCAN",2.16522384143446
"CLEC16A",-0.890596051149164
"MSR1",0.490534706861518
"CDH1",-0.716226092034527
"SKIV2L2",0.0322368332350335
"DNAH5",2.54231488143797
"ZFYVE16",-1.95585549205483
"FAM65A",-1.32831752066834
"C6",-0.712617034065231
"RAI14",2.11166784001846
"SOX30",-0.144257822932335
"PNKP",1.5490379015093
"PHLPP2",0.355863277404842
"SPDL1",0.72963535352507
"STAU2",-1.21029539942275
"PQLC2",0.568385647658241
"CTNS",2.09588559944054
"RTN4R",-0.148746410420153
"PHF23",3.35122734178577
"CDH10",-0.0833917576858557
"INPP4A",-1.91583754542037
"RAB27B",-2.11217944307823
"PSMA4",1.37785233341188
"MYO16",-2.35294105603449
"LSG1",0.842547110449238
"PARP3",1.43980424169141
"TNC",3.22241172808337
"THAP3",1.10705101381078
"FAM65C",-0.508104961217467
"TDP1",1.58572680149772
"AIFM2",-0.130009965770638
"SPATA7",0.351058757107704
"MED17",2.10919628686877
"RETSAT",2.16441632546924
"CAPG",1.03229956073638
"AP2S1",1.91290108825082
"USH2A",-2.40856337765181
"TG",-0.00764844878912386
"ADAM28",-1.23314337302991
"DCUN1D1",-0.373638602683599
"JADE2",0.243256526795361
"ZIC2",5.98933098715096
"TRIT1",-0.913378464748147
"CUL7",1.8971317704983
"CTNNA1",3.03904453610914
"PHKA2",1.46684602379426
"CNTLN",1.6214422531866
"EPHA3",-0.173020494192845
"HSPA5",1.96337548554212
"DSG2",1.22687184605152
"GEMIN8",2.2144233989545
"OFD1",1.68352381969207
"GPM6B",2.39216062034096
"PREX2",2.84014370832372
"WDR37",-1.30980012304727
"YTHDC2",-1.08329024378981
"CTPS2",-0.413137125304328
"ATP6V1H",-0.567023076054647
"POLR2B",0.647992743025862
"FAM214A",0.67257185868711
"ARAP2",3.69638286645486
"TPR",0.657461943781506
"CP",4.50872768650975
"KIAA0556",2.54912062597202
"DTNBP1",-1.44567107607442
"XK",-2.76514077718589
"ANO2",-1.97971624615489
"C12orf4",-0.599976360541953
"SCML1",-1.1924288877674
"WWC3",2.02721364547808
"ARHGAP6",1.50733288995219
"FAM184B",-1.42899681927072
"MAP4",-1.56723417383366
"GOPC",-1.11711767384425
"USP28",1.6434344071698
"HDAC9",-4.76709329378194
"TSPAN17",1.66056382441809
"NOP16",-0.439684514684885
"CC2D2A",2.27712004648111
"RRM2B",1.79127945420687
"ZNF800",0.504190174913663
"SNX29",-1.89285244231452
"LMO3",1.19099558713522
"MRPS10",0.598400696690054
"RSF1",-0.980771149635696
"VPS13D",-0.722973873523465
"CELF2",-2.34227348001181
"FAM120A",1.17643896240494
"R3HDM1",-2.79394416243897
"COL9A2",3.44744945794629
"KITLG",0.0326560156404947
"ERCC8",-0.7270666517605
"ADAMTS6",0.830035517466925
"H6PD",1.47450744589871
"VAMP3",2.01022736791029
"PER3",-0.643814293048769
"EPN3",-1.15376199977514
"LTBP1",2.4701623550109
"RCN1",2.38236646063705
"ELN",3.87713300995215
"RFC2",2.48233723266828
"ARID1B",-1.47393392474342
"CLPTM1L",1.99301505105922
"NEDD4L",-1.23951812534015
"PPP1R3F",-0.195398058368914
"HEXB",2.4478149435834
"PTCD2",-0.142329221306671
"KIAA2022",-1.11375182780867
"JKAMP",1.9980299881012
"DKK3",1.08226623261654
"NFE2L3",-2.82548256224831
"MCUR1",0.529444203432046
"LIMA1",1.26461654396484
"LETMD1",-1.56823554670141
"SLC4A8",-1.50528585433414
"LAMC3",2.9414375933829
"TNIP3",-0.426900544651728
"MAPK9",-0.958582299299772
"COL23A1",-4.18773251477763
"BCAR1",1.2575303317582
"FAM160A2",0.18172691475198
"HERPUD1",-0.52644991699522
"HOMER3",1.06704617809989
"RAD51",1.86536412274573
"POLQ",1.85159860900174
"PIK3CB",-0.148220700266067
"CYBA",-2.27954727218497
"THOC3",-0.805465874587706
"HEBP2",1.23708197791855
"MPHOSPH9",0.463400819169082
"PLEKHA5",2.29813508835557
"SIKE1",-0.295195909807281
"RRP12",1.01532063350533
"FNIP2",-1.15142592715818
"MSMO1",-0.407968047470861
"TTC17",0.278263614848625
"ALX4",1.91237705039286
"FSTL4",-3.04777460993321
"FOXN3",0.329552627920252
"METTL24",4.26387608042617
"AKR7A2",2.89814487799024
"MRTO4",0.34211611988662
"NNAT",-4.77182782593236
"USE1",0.265064078994828
"MCF2L2",-2.18425629323661
"LAMA3",-1.8646544291699
"AP5M1",0.25523659749282
"ANAPC4",0.384120325557265
"TRAPPC3",0.52366491226113
"THRAP3",1.73147332708426
"PHPT1",0.424280935618128
"ENTPD2",-2.2764982351643
"ARID4B",0.673753567941021
"OPN3",1.48043147434764
"SDCCAG8",-1.52918337359526
"PTPRN",-0.528000018358719
"HHAT",1.33824210391986
"KIF1B",-1.47985683153482
"FOXC1",4.03663120821266
"TBC1D22A",0.619128797166133
"SYNE2",1.98071337388251
"PLEKHH1",-1.41223160503092
"ATP9A",-1.50070424568043
"FAM168A",-1.58856473832898
"RELT",-0.817495176417688
"GALC",-0.032597729029077
"NOP58",-1.55308166888898
"SZRD1",2.60756665920262
"KCNH2",-0.554035325119335
"CUL1",0.65432461425097
"FAM114A2",0.661009974362437
"CYFIP2",-1.01535086740249
"TAB2",1.49171227316238
"GINM1",1.43082609896794
"EIF2AK2",-0.414758196131074
"USP36",-1.32316068899346
"KMT2C",-1.99498234811763
"CCDC85A",-1.36798909192576
"PUM2",-0.933225280270445
"MRPL43",2.12882922076041
"ITIH4",-0.681027541332659
"ITIH1",-1.01642386639651
"C4orf27",1.34364751341111
"ZFR",0.813476968998771
"ZNF280C",-1.44329450982068
"NPFFR2",-2.23424965986134
"PHF21B",1.0512594218279
"TRAF1",-0.246250962847907
"RC3H2",-0.68404751170811
"PCGF2",0.122129566587842
"IL17RB",0.672051955760072
"TRAF3IP2",0.118335086620856
"GYG2",1.9139911844493
"DCBLD2",0.155095985375579
