,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
TM9SF4,10.69135498,10.63205134,10.40774056,10.79674401,11.12680704,11.03483214
CRNKL1,10.82735602,10.86263224,10.99483757,11.01544133,10.91675322,11.03879487
POFUT1,10.06060852,10.00669562,10.0884106,10.8688564,10.64328706,11.42124024
SAMHD1,9.705577582,9.79551597,9.630578911,9.939156255,10.16927048,9.254360654
PAK7,11.41023887,11.37383917,11.44374219,10.82157511,11.6606527,8.987704719
KIF3B,12.41758634,12.47033175,11.92678052,11.99647862,12.46306217,11.8720604
MROH8,7.758234021,7.866767522,7.75023275,7.500774931,7.034833516,7.734811163
NOP56,11.66721559,11.61438681,11.53231312,11.61713393,11.64198715,11.57422822
MANBAL,8.975088578,8.81371049,8.863429561,8.859003468,8.977978567,9.170046604
IDH3B,10.76931118,10.65476861,10.52657271,10.7377075,10.65376158,10.51873442
MAPRE1,12.13799936,12.14189775,12.12810132,12.08483145,12.0153143,12.01602299
JAG1,11.5121817,11.4829647,12.91508285,11.9821303,11.64161137,12.66234136
CDK5RAP1,9.617792753,9.770760928,9.369319301,9.794890643,9.842866386,9.784892869
SNTA1,8.012813683,7.815599688,7.986073093,8.652531935,8.231272063,9.028201337
TTI1,10.14007375,10.14665018,10.29841258,10.44987747,10.25826505,10.47455242
E2F1,7.288235101,7.411015917,8.010925056,8.686494002,7.447061609,8.733785766
RPRD1B,9.890597959,9.92380391,9.889849218,9.740097829,9.974077756,9.857022856
PXMP4,6.858562221,6.927311133,5.928550888,7.023143982,6.996607109,7.653506645
CHMP4B,9.978108495,9.774086277,10.18192134,10.35585927,10.257284,10.59428521
SLC32A1,6.396415534,6.422721352,5.802307547,5.714063885,6.967214931,4.4633419
CST3,9.010029625,8.858331567,9.037912215,10.29972845,9.483678056,10.96713151
