"","P13555_101","P13555_102","P13555_103","P13555_104","P13555_105","P13555_111","P13555_112","P13555_113","P13555_114","P13555_115"
"TSPAN6",10.8037682975321,10.8039245389048,10.7816633586991,10.7565116411585,10.5173992420067,10.9906283194812,10.9927433876509,11.0848860761065,10.9820263876221,11.1822637368638
"TNMD",4.71485058447103,4.33057497578978,4.33057497578978,5.11117738537336,4.33057497578978,5.5092318575118,5.02705800807725,4.76322007626377,4.88894669250284,4.33057497578978
"DPM1",10.1344436200803,10.080005524681,9.8977715581774,10.0113452452569,10.0286163750765,10.0161965521559,10.0944673772919,9.88966616574614,9.85141316406234,9.89768400099202
"SCYL3",9.21390813020006,8.99317427065623,8.84887368210203,8.90685618477333,8.93400316556577,8.88181940164418,8.7311810706135,8.64125681542244,8.64143806947089,8.70543178623605
"C1orf112",9.97061121371927,10.1960780705979,9.84813353520716,9.73290666255273,9.84092045677742,10.425429542647,10.2222220382168,9.91714118014848,9.96594505856534,10.1549560881294
"CFH",6.59018555472305,5.57095247306812,5.48736220210262,5.80576727881748,6.33474934774583,5.14299338706209,5.26631329413997,5.71692020024012,5.42767490549153,4.87867597674217
"FUCA2",10.6536559794316,9.9006355450175,9.93665219856223,9.84513907753335,9.97370944471039,10.5034723117356,10.4281971829104,10.2269590065908,10.0747682348324,10.2624580319647
"GCLC",10.0818746495214,9.60484659037598,9.43219976213779,9.61118959134619,9.66027646863228,9.91536856901197,9.7807885790464,9.57641455992498,9.49431723812092,9.50085142244507
"NFYA",9.94770940234888,9.68282708885342,9.38476288171555,9.57737322361261,9.62981319727618,9.78031926903912,9.56084591383242,9.68910130154174,9.57162470139577,9.68222724949338
"STPG1",5.71851033752957,6.03787832370549,5.19500120178299,5.18366794311665,5.21482885983712,6.65296296577343,6.10021598600483,6.20872801580752,5.9325808561672,6.0071415149583
"NIPAL3",6.89090642247806,6.46540605530485,6.02288458469246,6.27143348175492,6.14820119934896,6.38243756829265,6.15401379211592,6.45244607761623,6.46868343160411,6.32667830679264
"LAS1L",9.65043382003506,9.84712755303465,10.0658613041729,10.0364451841796,10.0675926396152,9.87398404695915,10.0539322981857,9.98492020522026,9.96594505856534,10.1083255412651
"ENPP4",6.39673778597572,7.31212791605518,7.07931732073709,6.57187423218602,6.11910698556725,7.00907683331527,6.82221825277215,7.01313528804988,7.05325332658203,6.97941598346305
"SEMA3F",4.87244003929037,4.98537938635244,5.32398437444783,4.93813031504109,4.69626751308561,4.90878443777828,5.02705800807725,5.01089222657774,5.4703159945369,5.4501100296131
"CFTR",4.99231295536008,4.89885131332825,4.33057497578978,4.93813031504109,4.69626751308561,5.86844822964537,5.85692986657822,6.18937722109881,5.98527746922094,6.48554292281552
"ANKIB1",11.363492386551,10.8744858293896,10.5987233324764,10.8491200280358,10.5377274668228,10.9361950040534,10.7031672912885,10.6679640033801,10.5514479380208,10.4600662771
"CYP51A1",6.42255101864883,6.0879044495466,6.51788059183076,6.22210797305701,6.907473953131,6.6199490267744,7.07958158027951,6.89327007435537,7.17237031317981,7.22125196444729
"KRIT1",10.3608970551926,10.5084872228532,10.2622855787859,10.2126718214836,10.0535410718183,10.4638637379484,10.2164344571178,10.1767010537586,10.150344322498,10.1868440368554
"RAD52",8.61636385551088,8.70632396354992,8.65785402736398,8.33384539743194,8.20411582582569,8.42488667118959,8.47673491358723,8.56322857854703,8.68140523129286,8.48582693335371
"BAD",6.69808875644323,6.75726866628007,6.98118099690571,7.05036210899546,7.66753794066719,6.63655848193623,7.30379397562666,7.5583812117063,7.49513818024038,8.00088762776562
"LAP3",10.4975961343828,10.037211668753,9.91826834332545,10.0611155827506,10.1850310085572,10.6171647850769,10.4206668333098,10.0791409857724,10.1150384528843,10.3277181406113
"CD99",12.3977318767962,11.0316817922953,11.1897922570967,11.3350795698454,11.6075054942242,11.6540446945989,11.500234003114,11.1746710170078,10.9519639715146,11.2147430437888
