"","score"
"AHR",0.761760586101442
"AP1",0.844719227518822
"APEX1",0.255592967060198
"AR",0.7420243856259
"ARNT",1.07662341275957
"ASCL1",2.18467333764451
"ATF1",0.509461708192263
"ATF2",0.243834854821302
"ATF3",-1.28112449861513
"ATF4",0.449884736513022
"ATF6",0.308248938679586
"BCL6",-0.789822773909635
"BHLHE40",-0.462994462740737
"BMAL1",-0.961807671044521
"BRCA1",1.25276418926201
"CDX2",0.0580708232516341
"CEBPA",-1.10953218067789
"CEBPB",1.21992170490862
"CEBPD",-0.894982679853818
"CEBPG",-0.446233878890121
"CLOCK",0.145239078986395
"CREB1",0.678033559363268
"CREBBP",1.32811395253821
"CREM",-0.936562751410248
"CTCF",1.19774787180526
"CTNNB1",2.58338657128404
"CUX1",1.68851452447168
"DBP",0.600387611944831
"DDIT3",1.85406903557899
"DLX4",-1.1344400118473
"DLX5",0.746595743660192
"DNMT1",0.162827689731592
"DNMT3A",0.170742629552521
"DNMT3B",-0.570433723813093
"E2F1",2.09265749174066
"E2F2",1.3312095697223
"E2F3",0.239192779023788
"E2F4",4.39551735570227
"E2F6",0.76093978511699
"EGR1",-1.05601016467326
"EGR2",0.0280776705535445
"ELF1",-0.230519560207142
"ELF4",0.630561965061488
"ELK1",-1.51354837273412
"EP300",1.22939864373492
"EPAS1",-0.0175082272560526
"ERG",1.42532001192136
"ESR1",0.781453287415968
"ESR2",0.54106938984596
"ESRRA",0.942030959928512
"ETS1",-0.105542748305222
"ETS2",-1.64017110420041
"ETV4",-0.0657905243975895
"EWSR1",1.38918642916252
"EZH2",0.972256559085389
"FLI1",1.79866902903369
"FOS",-0.688605090301128
"FOSB",1.34386874431777
"FOSL1",0.963788270752954
"FOSL2",-0.33286634307134
"FOXA1",-0.619813124678581
"FOXA2",-0.421732585955544
"FOXM1",1.56061685973251
"FOXN1",1.28128552066243
"FOXO1",1.38802279956987
"FOXO3",1.87653193723395
"FOXP3",-0.334517760406273
"GABPA",1.90202115949862
"GATA1",0.733998948312721
"GATA2",-0.320911848689321
"GATA3",0.37510574052301
"GATA4",-0.475523183311722
"GATA6",-0.329854819713187
"GFI1",-0.831689990184721
"GLI1",2.09567942717994
"GLI2",1.34948117155558
"GLI3",4.08324931817246
"HAND2",0.732677168395301
"HBP1",1.54909807455729
"HDAC1",-1.90923998978915
"HES1",0.196149302373261
"HEY1",1.82056735758062
"HIF1A",1.22576180391907
"HMGA1",-0.0824255620939712
"HMGA2",-1.55438742668512
"HNF1A",-1.14930354888005
"HNF1B",-1.06573653167813
"HNF4A",-1.51311329306422
"HOXA10",0.756138113849226
"HOXA9",0.641327736243866
"HR",-1.12992711954983
"HSF1",0.0985233342415181
"ID1",0.4762211987587
"ID2",0.309536110174396
"ID3",0.619599517568382
"IKZF1",-0.397689284339667
"IRF1",1.38846591365545
"IRF2",1.10256175644756
"IRF3",1.40005015592694
