"ID","statistic","log2FoldChange","pvalue","padj"
"TSPAN6",2.52110672225607,1.21271792210745,0.0116986365008003,0.0744408406745202
"TNMD",0.244470922284312,0.221790785837088,0.806866119502609,0.894223771673844
"DPM1",0.505715003110257,0.0851715201769824,0.613056734411684,0.772069968389369
"SCYL3",-1.74521572710401,-0.267761015454629,0.0809473246426429,0.237849390144335
"C1orf112",1.46762996398862,0.502598720261391,0.142204764205242,0.333418911764539
"CFH",2.41439087111994,2.09345606039268,0.0157615437075044,0.0898237058722512
"FUCA2",1.91178958174804,0.987908682867063,0.0559031886041235,0.192596283542333
"GCLC",1.13422955428631,0.315900601472045,0.256698269989584,0.468165587698541
"NFYA",1.0832639991707,0.26058402852743,0.278691259921368,0.490843512810437
"STPG1",1.02176552602611,0.644298593753319,0.306891889404656,0.517960870790489
"NIPAL3",0.539767192131858,0.268837959291586,0.589357595210033,0.756735597303243
"LAS1L",1.16059323543366,0.206707157710105,0.245807357681491,0.457051296819793
"ENPP4",-1.31197402473125,-0.526271294186447,0.189528898956975,0.392899670929626
"SEMA3F",-0.481400599168608,-0.39877375785105,0.630231810926575,0.783207247671502
"ANKIB1",-0.710063124232126,-0.0781613123683981,0.477664992422397,0.671649714536502
"CYP51A1",-0.21743261393359,-0.0876721519733178,0.827871216865247,0.905662541503512
"KRIT1",-0.674104520377982,-0.110945546693396,0.50024486582733,0.688802021438774
"RAD52",2.7871701450519,0.403141061718092,0.00531705539649621,0.0451245717255844
"BAD",1.53460573681381,0.431547735588624,0.124880702642761,0.308171936929015
"LAP3",2.12844753981057,0.674818807833098,0.0332999951164971,0.14212566922966
"CD99",2.57620250874212,1.16796683952809,0.00998921228388577,0.0673104816826712
"HS3ST1",0.0895818604848395,0.0585955544409157,0.928619499678568,0.961984271942347
"HECW1",-1.42318017422081,-0.834007514809609,0.154683931350437,0.349386680921855
"MAD1L1",0.881298211305732,0.202598939082402,0.378156433977999,0.586723304438886
"LASP1",1.80275569622924,0.363699563406406,0.0714265908512139,0.222013139999003
"SNX11",2.16264269683871,0.257609394695198,0.0305686716199134,0.134275422729294
"M6PR",1.25486741837708,0.355788320436358,0.20952689343783,0.417372646697777
"KLHL13",-1.61503165825732,-0.380633151947498,0.106303839246096,0.280065012392032
"CYP26B1",-3.70717103818343,-2.47826268375917,0.00020958739906445,0.00454415385400868
"ICA1",-0.83021446460952,-0.533787266153161,0.40641753852513,0.611592900486005
"DBNDD1",-1.02269515489383,-0.644659265865785,0.306452002942078,0.517499252938052
"ALS2",0.452045892966125,0.0667018199140991,0.651235921315105,0.796682459641235
"CASP10",-2.8212593848367,-1.21746654240307,0.00478355074972982,0.0422231592716513
"CFLAR",0.472596574476177,0.151282953989376,0.636501026851597,0.786983505048803
"TFPI",2.97584390645908,1.47701446877283,0.00292183539355484,0.0298742415789972
"NDUFAF7",-1.0585606827561,-0.192339846059133,0.289799900792403,0.501538925485255
"RBM5",1.78467535406915,0.215723028136991,0.0743139908317938,0.227454407133475
"MTMR7",-1.95998945190085,-1.20928626710851,0.0499970231909356,0.180853176233659
"SLC7A2",-3.1293394918209,-2.29344863799992,0.00175199760265952,0.0209656902525997
"ARF5",2.27750056422321,0.409239064679974,0.0227563509733367,0.111338229962252
"SARM1",-1.90606389808785,-0.469763372867891,0.0566419159093372,0.193933048345271
"POLDIP2",1.09712597301335,0.182675368871852,0.272586327736464,0.484362822480913
"PLXND1",0.409479823592706,0.373097976601914,0.682187570555659,0.816444702151731
"AK2",0.854378002760036,0.193956057940918,0.392895580083323,0.599976536799349
"CD38",3.14160162080143,4.24816473521696,0.00168026488076652,0.0204544399539168
"FKBP4",0.0755493603152933,0.0108023773290839,0.939777625866987,0.968627073509378
"KDM1A",0.788496556729002,0.116539740420667,0.430406311859947,0.631915047405904
"RBM6",2.02176180731787,0.310849606254717,0.0432009651714121,0.166619404087197
"CAMKK1",-0.237189324298431,-0.122402647833033,0.812509918014266,0.897431689005418
"RECQL",0.780771831119892,0.214634045555166,0.434936704380649,0.636221530285282
"CCDC132",-3.03615281417691,-0.385180516640738,0.0023961788777466,0.0259103550488134
"ARHGAP33",-1.20622514888222,-0.675462761969063,0.227730689550255,0.43699203839564
"NDUFAB1",0.733151761445416,0.083188621978988,0.46346587297769,0.659523124483551
"PDK4",3.05520154849802,1.45780405104138,0.00224909324389433,0.0248245251159207
"ZMYND10",4.85185244000859,3.39360255298749,1.22313615443729e-06,8.32440965029579e-05
"SLC25A13",0.952330164259248,0.31513859044892,0.340929564536845,0.551589300972094
"ST7",-1.73029754708227,-0.544921475242503,0.0835771275852527,0.242864165503668
"CDC27",-1.24009821741332,-0.187153848227533,0.214939068238612,0.423782639193926
"CALCR",-3.51235483257858,-2.19204249208997,0.000444154571576582,0.00807125013729938
"HCCS",1.22583828452122,0.189943851542779,0.220259536985962,0.429050301670491
"DVL2",3.33580076493163,0.602258810968272,0.000850540951684212,0.0126199371677926
"UPF1",1.59760822421825,0.362638561203659,0.110130194972677,0.286111267027763
"SKAP2",-1.35035461018317,-0.506742607661549,0.176902262977394,0.378307464809821
"SLC25A5",1.28173773912565,0.258929818765758,0.199934661489432,0.406347086137925
"CCDC109B",3.46392607353331,2.04672077117406,0.000532352789546189,0.00910163202844876
"POLR2J",2.86817871709026,0.69551546732074,0.00412842259173492,0.0381803279247174
"DHX33",0.329116872968396,0.0797471954376314,0.742067351256479,0.853924872737822
"THSD7A",-1.00082722413366,-0.260521661645279,0.316910345397485,0.527894411105789
