Pathway,score
Androgen,-0.07399999999999995
EGFR,0.6144000000000001
Estrogen,-0.395
Hypoxia,-0.2126
JAK.STAT,1
MAPK,-0.474
NFkB,-0.23240000000000005
p53,0.935
PI3K,-0.9798
TGFb,0.9802
TNFa,0.9346000000000001
Trail,-0.8513999999999999
VEGF,0.8084
WNT,0.9054
