"Node1","Node2","Weight"
"AP1B1_AP1G1_AP1M1_AP1S1_CHEBI_17526_CLTA_CLTB_CLTC_CLTCL1","1",0
"AP1G2","1",0
"AP2A2_AP2B1_AP2M1_AP2S1","1",0
"AP2M1","-1",0
"AP3B1","1",0
"AP3B1_AP3B2_AP3D1_AP3M1_AP3M2_AP3S1_AP3S2_CHEBI_18348_CLTA_CLTB_CLTC_CLTCL1","1",0
"APAF1","1",0
"APAF1_CASP9_CYCS","1",0
"APBA1","1",0
"APBA2","1",0
"APBA3","1",0
"APBB1","1",0
"APC","-1",0
"APC2","1",0
"APC_AXIN1_AXIN2_CSNK1A1_CTNNB1_GSK3A_GSK3B","1",0
"APC_AXIN1_GSK3B","1",0
"APC_AXIN1_GSK3B","-1",0
"APC_CDC20","-1",0
"APC_PUF60_SIAH1_SKP1_TBL1X","-1",0
"APELA","1",0
"APEX1","1",0
"APEX1","-1",0
"APH1A","1",0
"APH1A_NCSTN_PSEN1_PSENEN","1",0
"APH1A_NCSTN_PSEN1_PSENEN","-1",0
"APH1B","1",0
"APIP","-1",0
"APLF","1",0
"APLN","1",0
"APLNR","1",0
"APOA1","1",0
"APOA5","1",0
"APOB","1",0
"APOC3","-1",0
"APOE","1",0
"APP","1",0
"APPL1","1",0
"AQP5","1",0
"AR","1",0
"AR","-1",0
"ARAF","1",0
"ARAF","-1",0
"ARAP1","-1",0
"ARAP2","-1",0
"ARAP3","-1",0
"AREG","1",0
"AREL1","-1",0
"ARF1","1",0
"ARF1","-1",0
"ARF6","1",0
"ARFGAP1","-1",0
"ARFGEF1","1",0
"ARFGEF2","1",0
"ARHGAP1","1",0
"ARHGAP1","-1",0
"ARHGAP10","-1",0
"ARHGAP11A","-1",0
"ARHGAP11B","-1",0
"ARHGAP12","-1",0
"ARHGAP15","-1",0
"ARHGAP17","1",0
"ARHGAP19","-1",0
"ARHGAP20","-1",0
"ARHGAP21","-1",0
"ARHGAP22","-1",0
"ARHGAP23","-1",0
"ARHGAP24","-1",0
"ARHGAP26","-1",0
"ARHGAP27","-1",0
"ARHGAP28","-1",0
"ARHGAP29","-1",0
"ARHGAP30","-1",0
"ARHGAP31","-1",0
"ARHGAP32","1",0
"ARHGAP32","-1",0
"ARHGAP33","-1",0
"ARHGAP35","-1",0
"ARHGAP39","-1",0
"ARHGAP4","-1",0
"ARHGAP40","-1",0
"ARHGAP44","-1",0
"ARHGAP5","-1",0
"ARHGAP6","-1",0
"ARHGAP8","1",0
"ARHGAP8","-1",0
"ARHGAP9","-1",0
"ARHGDIA","-1",0
"ARHGEF1","1",0
"ARHGEF10","1",0
"ARHGEF11","1",0
"ARHGEF12","1",0
"ARHGEF15","1",0
"ARHGEF17","1",0
"ARHGEF18","1",0
"ARHGEF19","1",0
"ARHGEF2","1",0
"ARHGEF25","1",0
"ARHGEF26","1",0
"ARHGEF28","1",0
"ARHGEF3","1",0
"ARHGEF4","1",0
"ARHGEF5","1",0
"ARHGEF6","1",0
"ARHGEF6","-1",0
"ARHGEF7","1",0
"ARHGEF7","-1",0
"ARHGEF9","1",0
"ARID4B_BRMS1_HDAC1_HDAC2_ING1_ING2_RBBP4_RBBP7_RBP1_SAP18_SAP30_SIN3A_SUDS3","-1",0
"ARID5B","1",0
"ARIH1","-1",0
"ARIH2","1",0
"ARMC10","-1",0
"ARNT","1",0
"ARNT_HIF1A","1",0
"ARPC2","1",0
"ARPP19","-1",0
"ARRB1","1",0
"ARRB1","-1",0
"ARRB2","1",0
"ARRB2","-1",0
"ARSA","1",0
"ARTN","1",0
"ARVCF","1",0
"ASAP1","-1",0
"ASAP2","1",0
"ASAP2","-1",0
"ASAP3","1",0
"ASB11","-1",0
"ASB2","1",0
"ASB2","-1",0
"ASB3","1",0
"ASB3","-1",0
"ASB4","-1",0
"ASB9","-1",0
"ASF1A","1",0
"ASF1B","1",0
"ASH1L","1",0
"ASH2L","1",0
"ASH2L_DPY30_HCFC1_HCFC2_KMT2A_KMT2D_MEN1_RBBP5_WDR5_WDR82","1",0
"ASH2L_DPY30_KDM6A_KMT2B_KMT2C_NCOA6_PAXIP1_RBBP5_WDR5","1",0
"ASH2L_DPY30_KMT2A_RBBP5_SETD1A_SETD1B_WDR5","-1",0
"ASH2L_DPY30_KMT2C_RBBP5_SETD1A_SETD1B_WDR5","-1",0
"ASH2L_DPY30_KMT2D_RBBP5_SETD1A_SETD1B_WDR5","1",0
"ASH2L_DPY30_KMT2D_RBBP5_SETD1A_SETD1B_WDR5","-1",0
"ASH2L_SETD1A_WDR5","-1",0
"ASIP","1",0
"ASIP","-1",0
"ASPH","1",0
"ASPSCR1","1",0
"ASTN2","-1",0
"ASXL1","1",0
"ASXL1","-1",0
"ASXL2","1",0
"ASXL3","1",0
"ASXL3","-1",0
"ATAD2","1",0
"ATAD5","1",0
"ATAT1","1",0
"ATE1","-1",0
"ATF1","1",0
"ATF2","1",0
"ATF2_JUN","1",0
"ATF3","1",0
"ATF4","1",0
"ATG10","1",0
"ATG101","1",0
"ATG101_ATG13_RB1CC1_ULK1_ULK2","1",0
"ATG12","1",0
"ATG12_ATG5","1",0
"ATG13","1",0
"ATG13_RB1CC1_ULK1","1",0
"ATG13_RB1CC1_ULK1","-1",0
"ATG14","1",0
"ATG16L1","1",0
"ATG3","1",0
"ATG4A","1",0
"ATG4B","1",0
"ATG4B","-1",0
"ATG4D","1",0
"ATG5","1",0
"ATG7","1",0
"ATG9A","1",0
"ATM","1",0
"ATM","-1",0
"ATM_NBN","1",0
"ATOH1","1",0
"ATP6AP1","1",0
"ATP6V1H","1",0
"ATP7A","1",0
"ATR","1",0
"ATR","-1",0
"ATRIP","1",0
"ATRX","1",0
"ATR_ATRIP","1",0
"ATXN2L","-1",0
"ATXN7","-1",0
"ATXN7_ATXN7L3_ENY2_KAT2A_KAT2B_SGF29_SUPT20H_SUPT3H_SUPT7L_TADA1_TADA2B_TADA3_TAF10_TAF12_TAF1A_TAF2_TAF5L_TAF6L_TAF8_TAF9_TRRAP_USP22","-1",0
"AURKA","1",0
"AURKA","-1",0
"AURKB","1",0
"AURKB","-1",0
"AURKC","1",0
"AUTS2","1",0
"AUTS2","-1",0
"AVP","1",0
"AVPR1A","1",0
"AVPR1B","1",0
"AVPR2","1",0
"AXIN1","1",0
"AXIN1","-1",0
"AXIN2","1",0
"AXL","1",0
"AZI2","1",0
"B0LPE5","-1",0
"B2M_CHEBI_166824_HLA_A","1",0
"B2M_CHEBI_166824_HLA_B","1",0
"B2M_CHEBI_166824_HLA_C","1",0
"B2M_CHEBI_166824_HLA_E","1",0
"B2M_CHEBI_166824_HLA_F","1",0
"B2M_CHEBI_166824_HLA_G","1",0
"B3GNT3","1",0
"BABAM1","1",0
"BACE1","1",0
"BACE2","1",0
"BACH1","1",0
"BACH1","-1",0
"BAD","1",0
"BAD","-1",0
"BAG1","1",0
"BAG1","-1",0
"BAG2","1",0
"BAG3","1",0
"BAG4","-1",0
"BAG5","-1",0
"BAG6","1",0
"BAG6","-1",0
"BAIAP2","1",0
"BAK1","1",0
"BAK1","-1",0
"BAMBI","1",0
"BANP","-1",0
"BAP1","1",0
"BARD1","1",0
"BARD1","-1",0
"BARD1_BRCA1","1",0
"BARD1_BRCA1","-1",0
"BARD1_BRCA1_BRIP1_CHEBI_49883_TOPBP1","1",0
"BARD1_BRCA1_CHEBI_29035_CHEBI_29105_CHEBI_4705_MRE11_NBN_RAD50_RBBP8","1",0
"BAX","1",0
"BAX","-1",0
"BAZ1B","1",0
"BAZ1B_CHEBI_18111_DDX21_DEK_ERCC6_MYBBP1A_MYO1C_SF3B1_SMARCA5","1",0
"BAZ1B_SMARCA5","1",0
"BAZ2A_SMARCA5","1",0
"BAZ2B","-1",0
"BBC3","1",0
"BBC3","-1",0
"BBIP1_BBS1_BBS2_BBS4_BBS5_BBS7_BBS9_TTC8","1",0
"BCAP31","1",0
"BCAP31","-1",0
"BCAR1","1",0
"BCAR1","-1",0
"BCAR3","1",0
"BCKDK","-1",0
"BCL10","1",0
"BCL10_CARD11_MALT1","1",0
"BCL2","-1",0
"BCL2L1","-1",0
"BCL2L11","1",0
"BCL2L11","-1",0
"BCL2L2","-1",0
"BCL3","1",0
"BCL6","-1",0
"BCL9","1",0
"BCOR","1",0
"BCORL1","1",0
"BCR","1",0
"BCR","-1",0
"BCS1L","1",0
"BDKRB1","1",0
"BDKRB2","1",0
"BDNF","1",0
"BDP1_BRF1_BRF2_TBP","1",0
"BECN1","1",0
"BECN1_PIK3C3_PIK3R4_UVRAG","1",0
"BFAR","-1",0
"BHLHE41","1",0
"BICDL1","1",0
"BID","1",0
"BID","-1",0
"BIK","-1",0
"BIRC2","1",0
"BIRC2","-1",0
"BIRC3","1",0
"BIRC3","-1",0
"BIRC5","1",0
