"Node1","Sign","Node2","Weight"
"Perturbation",1,"APEX1",60
"Perturbation",1,"AR",60
"Perturbation",1,"ARNT",40
"Perturbation",1,"ATF1",60
"Perturbation",1,"ATF2",60
"Perturbation",1,"ATF3",60
"Perturbation",1,"ATF4",60
"Perturbation",1,"BCL6",40
"Perturbation",1,"BMAL1",60
"Perturbation",1,"BRCA1",40
"Perturbation",1,"CDX2",60
"Perturbation",1,"CEBPA",60
"Perturbation",1,"CEBPB",60
"Perturbation",1,"CLOCK",60
"Perturbation",1,"CREB1",60
"Perturbation",1,"CREBBP",60
"Perturbation",1,"CREM",60
"Perturbation",1,"CTNNB1",60
"Perturbation",1,"DDIT3",60
"Perturbation",1,"DLX5",60
"Perturbation",1,"DNMT3A",60
"Perturbation",1,"E2F1",60
"Perturbation",1,"E2F2",60
"Perturbation",1,"E2F3",60
"Perturbation",1,"E2F4",60
"Perturbation",1,"E2F6",40
"Perturbation",1,"EGFR",40
"Perturbation",1,"EGR1",60
"Perturbation",1,"EP300",60
"Perturbation",1,"EPAS1",60
"Perturbation",1,"ESR1",60
"Perturbation",1,"ESR2",60
"Perturbation",1,"ETS1",60
"Perturbation",1,"ETS2",60
"Perturbation",1,"EZH2",60
"Perturbation",1,"FLI1",60
"Perturbation",1,"FOS",60
"Perturbation",1,"FOXA1",60
"Perturbation",1,"FOXA2",40
"Perturbation",1,"FOXM1",60
"Perturbation",1,"FOXO1",40
"Perturbation",1,"FOXO3",40
"Perturbation",1,"GABPA",60
"Perturbation",1,"GATA1",60
"Perturbation",1,"GATA2",60
"Perturbation",1,"GATA3",60
"Perturbation",1,"GFI1",60
"Perturbation",1,"GLI1",60
"Perturbation",1,"GLI2",60
"Perturbation",1,"GLI3",40
"Perturbation",1,"HBP1",40
"Perturbation",1,"HES1",60
"Perturbation",1,"HIF1A",60
"Perturbation",1,"HMGA1",60
"Perturbation",1,"HMGA2",60
"Perturbation",1,"HNF1A",60
"Perturbation",1,"HNF1B",60
"Perturbation",1,"HOXA9",40
"Perturbation",1,"HSF1",60
"Perturbation",1,"ID1",60
"Perturbation",1,"ID3",60
"Perturbation",1,"IRF1",40
"Perturbation",1,"IRF3",60
"Perturbation",1,"JDP2",40
"Perturbation",1,"JUN",60
"Perturbation",1,"JUNB",60
"Perturbation",1,"KAT5",60
"Perturbation",1,"KDM5B",60
"Perturbation",1,"KLF2",40
"Perturbation",1,"KLF4",60
"Perturbation",1,"KMT2A",60
"Perturbation",1,"LEF1",40
"Perturbation",1,"LHX2",40
"Perturbation",1,"MAF",60
"Perturbation",1,"MAX",40
"Perturbation",1,"MECP2",40
"Perturbation",1,"MEF2A",60
"Perturbation",1,"MEF2C",60
"Perturbation",1,"MSX2",40
"Perturbation",1,"MTA1",60
"Perturbation",1,"MYB",60
"Perturbation",1,"MYBL2",40
"Perturbation",1,"MYC",60
"Perturbation",1,"MYCN",60
"Perturbation",1,"MYOD1",60
"Perturbation",1,"MYOG",40
"Perturbation",1,"NCOA1",60
"Perturbation",1,"NCOA2",60
"Perturbation",1,"NCOA3",60
"Perturbation",1,"NCOR1",60
"Perturbation",1,"NCOR2",60
"Perturbation",1,"NEUROD1",40
"Perturbation",1,"NFAT5",60
"Perturbation",1,"NFATC2",60
"Perturbation",1,"NFE2L2",60
"Perturbation",1,"NFKB1",60
"Perturbation",1,"NFKB2",60
"Perturbation",1,"NFYA",60
"Perturbation",1,"NKX3_1",60
"Perturbation",1,"NOTCH1",60
"Perturbation",1,"NR0B2",40
"Perturbation",1,"NR1H2",60
"Perturbation",1,"NR1H3",60
"Perturbation",1,"NR1I2",60
"Perturbation",1,"NR1I3",60
"Perturbation",1,"NR2C2",60
"Perturbation",1,"NR2F1",40
"Perturbation",1,"NR2F2",60
"Perturbation",1,"NR3C2",60
"Perturbation",1,"NR4A1",60
"Perturbation",1,"NR4A2",40
"Perturbation",1,"NR4A3",60
"Perturbation",1,"NR5A1",60
"Perturbation",1,"NRF1",60
"Perturbation",1,"NRG1",40
"Perturbation",1,"PAX3",60
"Perturbation",1,"PAX5",60
"Perturbation",1,"PAX6",40
"Perturbation",1,"PBX1",40
"Perturbation",1,"POU2F1",60
"Perturbation",1,"POU4F1",40
"Perturbation",1,"POU4F2",40
"Perturbation",1,"POU5F1",60
"Perturbation",1,"PPARA",60
"Perturbation",1,"PPARD",40
"Perturbation",1,"PPARG",40
"Perturbation",1,"PPARGC1A",60
"Perturbation",1,"PRDM1",40
"Perturbation",1,"PROX1",60
"Perturbation",1,"RARA",60
"Perturbation",1,"RARB",60
"Perturbation",1,"RARG",60
"Perturbation",1,"RB1",40
"Perturbation",1,"RBPJ",60
"Perturbation",1,"REL",60
"Perturbation",1,"RELA",60
"Perturbation",1,"RUNX1",40
"Perturbation",1,"RUNX2",60
"Perturbation",1,"RXRA",60
"Perturbation",1,"SIRT1",60
"Perturbation",1,"SMAD1",60
"Perturbation",1,"SMAD2",60
"Perturbation",1,"SMAD3",60
"Perturbation",1,"SMAD4",60
"Perturbation",1,"SMAD5",40
"Perturbation",1,"SOX17",60
"Perturbation",1,"SOX2",40
"Perturbation",1,"SOX9",60
"Perturbation",1,"SP1",60
"Perturbation",1,"SP3",60
"Perturbation",1,"SP4",60
"Perturbation",1,"SPI1",60
"Perturbation",1,"SRF",60
"Perturbation",1,"STAT2",60
"Perturbation",1,"STAT3",60
"Perturbation",1,"STAT5A",40
"Perturbation",1,"STAT6",40
"Perturbation",1,"TAF1",40
"Perturbation",1,"TAL1",60
"Perturbation",1,"TBX2",60
"Perturbation",1,"TCF3",60
"Perturbation",1,"TFAP4",60
"Perturbation",1,"THRA",60
"Perturbation",1,"TP53",60
"Perturbation",1,"TP63",60
"Perturbation",1,"TP73",60
"Perturbation",1,"TWIST1",60
"Perturbation",1,"USF1",60
"Perturbation",1,"VDR",60
"Perturbation",1,"WT1",60
"Perturbation",1,"YBX1",60
"Perturbation",1,"ZBTB16",40
"Perturbation",1,"ZBTB17",60
